,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.8466,0.00034,0.002,-0.01515,0.00047,13.1782,,0.0,178 x 89,14.5,14.95,5.0,0.0,0.5,0 x 489,0.0,-0.02544,0.00329,0.00117,-0.10555,0.0,8.03269,,14.7,0.746
1,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,1.0,0.0,0.0,0.0,0.0,,27.0,9.7,745 x 189,9.55,9.79,10.0,0.0,0.51,0 x 643,0.0,-0.0511,0.01107,0.00237,-0.10095,-7e-05,4.25119,,9.7,0.493
2,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.94393,0.02796,0.00185,-0.01482,0.00068,1.61837,75.0,4.75,503 x 352,4.65,4.79,15.0,0.0,0.05,0 x 527,0.0,-0.02369,0.02018,0.00162,-0.0143,-0.00025,1.21739,,4.7,0.239
3,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,1.0,0.0,0.0,0.0,0.0,,156.0,3.65,451 x 145,3.6,3.8,16.0,0.0,0.06,0 x 560,0.01,-0.03335,0.033,0.00137,-0.01562,0.0,0.99329,21.0,3.7,0.188
4,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,1.0,0.0,0.0,0.0,0.0,,2.0,2.6,440 x 174,2.46,2.84,17.0,0.01,0.03,75 x 229,0.01,-0.03303,0.04739,0.00142,-0.01114,0.0,0.68525,783.0,2.7,0.137
5,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.84935,0.16145,0.00516,-0.03092,0.00079,0.84786,416.0,1.78,126 x 144,1.74,1.84,18.0,0.06,0.08,60 x 41,0.08,-0.10542,0.13457,0.0039,-0.02805,-0.00041,0.60203,,1.7,0.087
6,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.75811,0.19432,0.00731,-0.04542,0.00118,0.83397,149.0,1.36,224 x 296,1.32,1.47,18.5,0.15,0.18,83 x 46,0.2,-0.20339,0.20213,0.00609,-0.04817,-0.00063,0.62237,856.0,1.2,0.061
7,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.64361,0.20427,0.00829,-0.06363,0.00076,0.87329,,1.04,37 x 205,1.06,1.14,19.0,0.33,0.36,56 x 46,0.34,-0.33355,0.24223,0.00847,-0.06978,-0.0011,0.66625,,0.7,0.036
8,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.53762,0.20753,0.00874,-0.07268,0.0015,0.88794,,0.82,6 x 10,0.81,0.84,19.5,0.58,0.61,38 x 32,0.62,-0.46517,0.24949,0.00908,-0.08421,-0.00142,0.70491,,0.2,0.011
9,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.44003,0.19091,0.00834,-0.07951,0.00085,0.93949,,0.64,38 x 160,0.61,0.67,20.0,0.9,0.93,75 x 40,0.93,-0.58147,0.22991,0.00881,-0.09086,-0.00157,0.74984,,0.3,0.015
10,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.358,0.17176,0.00869,-0.08068,0.00105,0.97917,,0.48,85 x 31,0.48,0.53,20.5,1.21,1.38,375 x 453,1.32,-0.67096,0.19441,0.0079,-0.09427,-0.00213,0.81834,247.0,0.8,0.04
11,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.29548,0.14798,0.00739,-0.0806,0.00018,1.04522,,0.42,30 x 8,0.4,0.42,21.0,1.65,1.76,78 x 373,1.74,-0.74677,0.16389,0.0069,-0.08949,-0.0026,0.85375,889.0,1.3,0.065
12,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.24196,0.12772,0.00687,-0.07615,9e-05,1.09365,,0.32,114 x 50,0.32,0.33,21.5,2.06,2.27,123 x 432,2.31,-0.78877,0.13287,0.00618,-0.08968,-0.0024,0.94753,259.0,1.8,0.091
13,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.20748,0.10871,0.00601,-0.07514,0.0007,1.17596,,0.29,201 x 219,0.27,0.32,22.0,2.53,2.7,92 x 370,2.61,-0.83509,0.10944,0.00489,-0.08214,-0.00227,0.97593,292.0,2.3,0.116
14,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.17587,0.09359,0.00609,-0.07081,-9e-05,1.23124,,0.24,53 x 54,0.23,0.26,22.5,2.96,3.11,160 x 236,3.18,-0.89763,0.08305,0.00369,-0.06284,-0.00235,0.90497,12.0,2.8,0.142
15,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.14744,0.0806,0.00542,-0.06446,-0.00011,1.27586,,0.22,6 x 21,0.21,0.21,23.0,3.4,3.6,255 x 317,3.7,-0.92237,0.06394,0.00281,-0.05681,-0.00325,0.93222,40.0,3.3,0.167
16,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.13471,0.07059,0.00437,-0.06467,0.00014,1.3666,251.0,0.18,83 x 325,0.17,0.22,23.5,3.9,4.1,92 x 285,4.05,-0.92826,0.0546,0.00327,-0.05816,-0.00333,1.02358,1.0,3.8,0.192
17,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.11692,0.06171,0.00454,-0.06033,0.00036,1.41803,,0.16,83 x 270,0.16,0.18,24.0,4.25,4.49,367 x 172,4.6,-0.99218,0.0,0.0,-0.0317,-0.00286,0.00101,42.0,4.3,0.218
18,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.09566,0.05301,0.00341,-0.05167,0.00062,1.42929,173.0,0.14,80 x 14,0.13,0.14,24.5,4.85,5.0,108 x 109,5.01,-1.0,0.0,-57.90008,0.0,0.0,0.00055,3.0,4.8,0.243
19,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.08181,0.04606,0.00346,-0.04726,-6e-05,1.46611,600.0,0.12,83 x 11,0.11,0.12,25.0,5.35,5.51,41 x 60,5.43,-1.0,0.0,-62.89974,0.0,0.0,0.00074,4.0,5.3,0.268
20,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.07335,0.04088,0.00293,-0.045,0.00017,1.5214,382.0,0.1,138 x 33,0.1,0.13,25.5,5.79,6.05,132 x 252,5.11,-1.0,0.0,-67.89953,0.0,0.0,0.00127,0.0,5.8,0.294
21,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.06367,0.03571,0.00261,-0.03996,0.00031,1.55203,,0.09,109 x 28,0.07,0.1,26.0,6.3,6.44,151 x 60,6.45,-0.99202,0.0,0.0,-0.03171,-0.00367,0.00069,18.0,6.3,0.319
22,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.05677,0.03171,0.00281,-0.03716,-0.00011,1.59387,72.0,0.09,81 x 24,0.06,0.09,26.5,6.75,7.04,260 x 286,7.05,-0.99204,0.0,0.0,-0.03161,-0.00384,0.00075,10.0,6.8,0.344
23,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.05175,0.02861,0.00213,-0.03516,8e-05,1.64801,477.0,0.08,97 x 50,0.06,0.09,27.0,7.3,7.51,30 x 238,7.55,-0.99269,0.0,0.0,-0.03176,-0.00348,0.00102,8.0,7.3,0.37
24,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.04751,0.02598,0.00193,-0.0338,-8e-05,1.70013,77.0,0.06,39 x 60,0.05,0.08,27.5,7.75,8.01,215 x 276,7.8,-0.99265,0.0,0.0,-0.0309,-0.00347,0.00065,3.0,7.8,0.395
25,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.04092,0.02285,0.00159,-0.03024,-0.00014,1.72031,619.0,0.05,95 x 75,0.04,0.07,28.0,8.25,8.45,226 x 84,8.3,-0.99247,0.0,0.0,-0.03122,-0.00383,0.00098,12.0,8.3,0.421
26,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.03739,0.02069,0.00204,-0.02833,0.00029,1.76023,342.0,0.04,10 x 14,0.05,0.06,28.5,8.76,8.99,76 x 256,8.07,-0.99259,0.0,0.0,-0.0311,-0.00397,0.00082,0.0,8.8,0.446
27,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.034,0.01867,0.00159,-0.02632,0.00038,1.79651,24.0,0.06,86 x 34,0.03,0.06,29.0,9.25,9.49,101 x 227,9.35,-0.99235,0.0,0.0,-0.03152,-0.00412,0.00045,2.0,9.3,0.471
28,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.03266,0.01762,0.00125,-0.0268,-0.00023,1.85874,19.0,0.06,9 x 67,0.04,0.06,29.5,9.65,9.96,201 x 60,0.0,-0.99211,0.0,0.0,-0.03102,-0.004,0.00054,,9.8,0.497
29,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.02962,0.01593,0.00103,-0.02461,-0.00029,1.88935,974.0,0.05,98 x 70,0.04,0.06,30.0,10.25,10.5,86 x 180,10.35,-0.99295,0.0,0.0,-0.03108,-0.00351,0.00102,1.0,10.3,0.522
30,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.021,0.01235,0.00158,-0.0177,0.00043,1.8317,102.0,0.06,172 x 15,0.02,0.04,30.5,10.7,10.95,60 x 60,0.0,-0.99206,0.0,0.0,-0.03131,-0.00443,0.00091,,10.8,0.547
31,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.0258,0.01354,0.00131,-0.02298,-0.00016,1.96902,715.0,0.04,9 x 194,0.03,0.05,31.0,11.2,11.45,184 x 133,10.6,-0.99268,0.0,0.0,-0.03107,-0.0036,0.0006,0.0,11.3,0.573
32,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01974,0.01119,0.00144,-0.01735,8e-05,1.94049,12.0,0.03,62 x 33,0.03,0.03,31.5,11.75,11.99,33 x 60,0.0,-0.99233,0.0,0.0,-0.0318,-0.00436,0.00094,,11.8,0.598
33,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.02006,0.01068,0.00149,-0.01782,-0.00035,1.99336,344.0,0.04,61 x 35,0.01,0.04,32.0,12.09,12.41,376 x 60,11.52,-1.0,0.0,-132.89993,0.0,0.0,,0.0,12.3,0.624
34,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01675,0.00934,0.00052,-0.01543,0.00049,1.99722,445.0,0.03,309 x 138,0.01,0.03,32.5,12.75,12.9,90 x 479,12.95,-0.99235,0.0,0.0,-0.03128,-0.0041,0.00124,8.0,12.8,0.649
35,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01416,0.00799,0.00066,-0.01294,0.00033,1.98949,763.0,0.02,0 x 256,0.0,0.04,33.0,13.2,13.4,249 x 442,12.47,-0.99249,0.0,0.0,-0.03167,-0.00388,0.00136,0.0,13.3,0.674
36,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01632,0.00853,0.00054,-0.01569,-7e-05,2.09253,100.0,0.03,0 x 399,0.0,0.04,33.5,13.64,13.95,351 x 313,0.0,-0.99294,0.0,0.0,-0.03134,-0.00469,0.00042,,13.8,0.7
37,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01544,0.00826,0.00124,-0.01583,0.00045,2.14222,4.0,0.05,0 x 419,0.0,0.06,34.0,14.19,14.41,154 x 84,14.0,-0.99245,0.0,0.0,-0.03099,-0.0042,0.00078,2.0,14.3,0.725
38,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01507,0.00788,0.00094,-0.01585,0.00016,2.18826,35.0,0.04,0 x 400,0.0,0.05,34.5,14.65,14.9,312 x 90,0.0,-1.0,0.0,-157.90021,0.0,0.0,,,14.8,0.75
39,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01742,0.00842,0.00072,-0.0185,0.00035,2.28881,145.0,0.04,2 x 379,0.01,0.04,35.0,15.05,15.39,595 x 497,14.06,-1.0,0.0,-162.90019,0.0,0.0,,0.0,15.3,0.776
40,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.0126,0.00657,0.00121,-0.01313,0.0001,2.21732,100.0,0.02,0 x 374,0.0,0.03,35.5,15.7,15.95,75 x 261,0.0,-0.99203,0.0,0.0,-0.03152,-0.00435,0.00062,,15.8,0.801
41,1506974400,2017-10-02 16:00,2017-10-02,16.0,19.71,2017-10-06,1507320000,4,0.01265,0.0063,0.00065,-0.01331,0.00043,2.25993,152.0,0.01,40 x 356,0.01,0.03,36.0,16.19,16.36,365 x 406,0.0,-1.0,0.0,-172.90023,0.0,0.0,,,16.3,0.826
