,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.87892,0.00238,0.00105,-0.02493,0.00035,5.68761,,0.0,342 x 445,4.89,5.05,4.5,0.0,0.03,0 x 453,0.0,-0.0114,0.00908,0.00043,-0.01016,0.0,3.50505,,4.9,0.524
1,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.88488,0.0065,0.00157,-0.0496,0.00022,4.85678,,0.0,130 x 348,4.4,4.61,5.0,0.0,0.03,0 x 441,0.0,-0.01299,0.01175,0.00048,-0.01064,-0.00028,3.05105,,4.4,0.471
2,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,1.0,0.0,0.0,0.0,0.0,,,0.0,201 x 166,3.3,3.55,6.0,0.0,0.03,0 x 329,0.0,-0.01843,0.02062,0.00061,-0.00977,0.0,2.2679,,3.4,0.365
3,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.89817,0.03186,0.00109,-0.05291,0.00018,2.87394,,0.0,80 x 436,2.95,3.11,6.5,0.0,0.03,0 x 246,0.0,-0.02065,0.02771,0.00016,-0.01007,-9e-05,1.90775,,2.9,0.312
4,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.92122,0.02483,0.00114,-0.01981,0.0006,1.93506,10.0,2.67,48 x 72,2.4,2.54,7.0,0.0,0.02,0 x 269,0.0,-0.02464,0.03878,9e-05,-0.00971,-0.00032,1.57542,,2.4,0.259
5,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.91939,0.05439,0.00143,-0.0254,0.00011,1.57677,36.0,1.99,26 x 63,1.95,1.99,7.5,0.0,0.03,0 x 293,0.0,-0.03113,0.05774,0.00049,-0.00934,0.0,1.26444,,1.9,0.206
6,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.9009,0.19851,0.00202,-0.01568,0.00067,0.82374,39.0,0.98,67 x 10,0.96,1.0,8.5,0.01,0.01,149 x 225,0.01,-0.05514,0.17546,0.00072,-0.00851,0.0,0.66726,27.0,0.9,0.101
7,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.74572,0.43858,0.00345,-0.03187,0.00051,0.76661,,0.54,75 x 492,0.51,0.6,9.0,0.06,0.07,44 x 401,0.07,-0.20832,0.49332,0.00301,-0.02299,0.0,0.60847,,0.4,0.048
8,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.48575,0.53601,0.00343,-0.04162,0.00064,0.77897,,0.28,52 x 10,0.26,0.28,9.5,0.3,0.32,106 x 44,0.31,-0.51782,0.57738,0.00397,-0.04068,-0.00069,0.7221,,0.1,0.005
9,1514926800,2018-01-02 16:00,2018-01-02,16.0,9.45,2018-01-05,1515186000,3,0.28941,0.38075,0.00306,-0.0426,-0.00018,0.94053,,0.17,52 x 50,0.13,0.17,10.0,0.67,0.73,55 x 53,0.69,-0.7189,0.38991,0.00319,-0.04235,-0.00113,0.90407,,0.6,0.058
