,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.91876,0.01257,0.00179,-0.00604,-0.00011,3.47048,,0.0,508 x 619,5.64,5.85,9.0,0.0,0.33,0 x 1006,0.0,-0.06141,0.02313,0.00192,-0.08018,-0.00029,3.50522,,5.7,0.39
1,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,1.0,0.0,0.0,0.0,0.0,,,0.0,657 x 481,5.1,5.35,9.5,0.0,0.01,0 x 132,0.0,-0.00611,0.00626,0.00073,-0.00361,-0.00016,1.73759,,5.2,0.356
2,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,1.0,0.0,0.0,0.0,0.0,,,0.0,605 x 364,4.6,4.8,10.0,0.0,0.01,0 x 473,0.01,-0.00606,0.00775,0.00054,-0.00392,-0.00042,1.54834,0.0,4.7,0.322
3,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,1.0,0.0,0.0,0.0,0.0,,0.0,4.45,425 x 66,4.15,4.29,10.5,0.0,0.02,0 x 453,0.01,-0.00741,0.00972,0.00046,-0.00396,0.0,1.36654,7.0,4.2,0.288
4,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,1.0,0.0,0.0,0.0,0.0,,,0.0,219 x 115,3.5,3.8,11.0,0.0,0.01,0 x 420,0.02,-0.00849,0.01254,0.00079,-0.00398,0.0,1.19174,0.0,3.7,0.254
5,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.95806,0.05727,0.00123,-0.00604,0.00023,1.71776,,0.0,445 x 465,3.14,3.35,11.5,0.0,0.02,0 x 686,0.01,-0.02192,0.02902,0.00077,-0.01065,0.0,1.20048,24.0,3.2,0.22
6,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,1.0,0.0,0.0,0.0,0.0,,10.0,3.1,536 x 69,2.65,2.78,12.0,0.0,0.02,0 x 451,0.01,-0.01886,0.03249,0.00102,-0.00748,-0.0001,0.94991,77.0,2.7,0.186
7,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.88292,0.11314,0.00274,-0.03716,0.00024,1.55858,,0.0,440 x 297,2.16,2.47,12.5,0.0,0.02,0 x 158,0.01,-0.02241,0.04673,0.00035,-0.00736,0.0,0.77879,5.0,2.2,0.152
8,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.97803,0.1895,0.00036,-0.00102,0.00021,0.95723,63.0,1.85,34 x 30,1.7,1.79,13.0,0.0,0.04,453 x 82,0.01,-0.04611,0.09388,0.00164,-0.01267,0.0,0.6887,241.0,1.7,0.118
9,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.84394,0.24428,0.00282,-0.02646,0.00062,0.9856,120.0,1.31,42 x 38,1.27,1.34,13.5,0.05,0.07,40 x 22,0.07,-0.1193,0.19999,0.00311,-0.02964,-0.00056,0.66708,,1.2,0.084
10,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.71135,0.29484,0.00538,-0.04469,0.00044,0.94481,235.0,0.91,45 x 42,0.88,0.93,14.0,0.16,0.17,96 x 14,0.17,-0.25961,0.32706,0.00502,-0.05499,-0.00037,0.66093,,0.7,0.05
11,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.55451,0.30508,0.00623,-0.05881,0.00057,0.94692,,0.59,494 x 66,0.57,0.63,14.5,0.35,0.39,282 x 59,0.38,-0.45134,0.37924,0.00538,-0.07829,-0.00117,0.69364,,0.2,0.017
12,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.41383,0.26746,0.0053,-0.06713,0.00087,1.01378,,0.42,1 x 36,0.4,0.43,15.0,0.64,0.69,73 x 224,0.67,-0.63683,0.35183,0.005,-0.08437,-0.00074,0.70297,839.0,0.3,0.017
13,1525204800,2018-05-01 16:00,2018-05-01,16.0,14.74,2018-05-04,1525464000,3,0.29582,0.22884,0.00491,-0.06222,0.00086,1.0311,,0.27,100 x 37,0.26,0.28,15.5,0.97,1.09,470 x 768,1.0,-0.79503,0.26866,0.00446,-0.07521,-0.00115,0.68207,551.0,0.8,0.051
