,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,0.00012,,,0.0,1582 x 850,4.55,6.45,3.0,0.0,0.01,0 x 73,0.01,-0.00328,0.00276,-0.00031,-0.0053,0.0,9.83341,1.0,5.8,0.661
1,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,-0.00027,,,0.0,628 x 366,3.55,5.96,4.0,0.0,0.01,0 x 73,0.0,-0.00456,0.00492,0.00051,-0.0048,0.0,7.35385,,4.8,0.548
2,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.92445,0.03367,0.00103,-0.17552,0.00045,10.66382,,0.0,771 x 276,2.6,5.45,5.0,0.0,0.01,0 x 44,0.0,-0.00697,0.00867,-0.00042,-0.00507,0.0,5.42756,,3.8,0.435
3,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.90686,0.04377,0.00049,-0.2001,0.00027,9.61993,,0.0,721 x 50,2.09,5.0,5.5,0.0,0.01,0 x 80,0.0,-0.00827,0.01179,0.00026,-0.00492,0.0,4.59885,,3.3,0.379
4,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.86545,0.05582,0.00088,-0.32539,-0.00019,9.8238,,0.0,713 x 52,2.5,3.84,6.0,0.0,0.01,0 x 55,0.0,-0.00882,0.01643,0.00056,-0.00531,0.0,3.83498,,2.8,0.322
5,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.88852,0.07477,0.001,-0.15476,5e-05,6.41372,,0.0,716 x 67,1.06,3.95,6.5,0.0,0.01,0 x 63,0.08,-0.01133,0.02397,-3e-05,-0.00514,0.0,3.12399,0.0,2.3,0.266
6,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,0.00049,,0.0,3.0,1458 x 14,0.64,2.06,7.0,0.0,0.01,0 x 113,0.02,-0.01454,0.03707,-0.0002,-0.00511,0.0,2.45376,0.0,1.8,0.209
7,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,-0.00031,,,0.0,11 x 50,0.4,1.81,7.5,0.0,0.02,0 x 40,0.01,-0.01902,0.06363,0.00023,-0.00541,0.0,1.81374,117.0,1.3,0.153
8,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,0.00042,,143.0,0.97,1916 x 2916,0.69,1.0,8.0,0.0,0.01,0 x 57,0.01,-0.02733,0.13327,0.00031,-0.00459,0.0,1.19141,229.0,0.8,0.096
9,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,1.0,0.0,0.0,0.0,0.00015,,,0.3,40 x 37,0.31,0.35,8.5,0.0,0.02,0 x 76,0.01,-0.05317,0.48439,0.00074,-0.00526,0.0,0.56285,,0.3,0.04
10,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.09537,1.49643,0.00107,-0.00504,-0.00033,0.28513,,0.01,0 x 192,0.0,0.01,9.0,0.19,0.2,9 x 66,0.19,-0.71334,1.3189,0.00184,-0.04489,-0.00032,0.64924,,0.2,0.017
11,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.03649,0.23182,0.00068,-0.00499,-2e-05,0.87674,,0.01,0 x 245,0.0,0.02,9.5,0.66,0.73,42 x 13,0.66,-0.85274,0.37513,0.00119,-0.04025,-0.00047,1.44638,,0.7,0.073
12,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.02498,0.10739,0.00054,-0.00494,0.0,1.37241,,0.01,0 x 307,0.0,0.01,10.0,1.16,1.23,38 x 24,1.18,-0.88208,0.19153,0.00039,-0.03953,0.0,2.13611,,1.2,0.13
13,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.01955,0.06598,0.00022,-0.00527,0.0,1.81762,,0.01,0 x 68,0.0,0.01,10.5,1.63,1.71,15 x 21,1.64,-0.91625,0.0669,0.00097,-0.01538,-0.00028,2.38126,819.0,1.7,0.186
14,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.01661,0.04629,-0.00033,-0.00482,0.0,2.22712,,0.01,0 x 406,0.0,0.01,11.0,2.15,2.2,32 x 10,2.15,-0.9037,0.05905,0.00083,-0.02542,0.0,3.16344,685.0,2.2,0.243
15,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.01463,0.03516,-0.00027,-0.00519,0.0,2.60732,,0.01,0 x 368,0.0,0.0,11.5,2.33,2.73,1909 x 14,2.66,-1.0,0.0,0.0,0.0,0.0,,,2.7,0.299
16,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.01304,0.02814,0.00031,-0.00473,0.0,2.96352,,0.01,0 x 85,0.0,0.01,12.0,3.15,3.25,10 x 60,3.05,-0.8761,0.04756,0.00086,-0.05016,-0.0004,4.75352,599.0,3.2,0.356
17,1467403200,2016-07-01 16:00,2016-07-01,16.0,8.85,2016-07-01,1467403200,0,0.01177,0.02335,0.00031,-0.0052,0.0,3.29914,161.0,0.01,0 x 1000,0.0,0.01,12.5,3.49,3.75,722 x 37,3.71,-1.0,0.0,0.0,0.0,0.0,,527.0,3.7,0.412
