,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,1.0,0.0,0.0,0.0,0.0,,17.0,6.05,616 x 1347,4.65,5.4,10.0,0.0,0.02,0 x 5,0.02,-0.00554,0.00687,0.00017,-0.00306,-0.00012,1.43877,100.0,5.1,0.336
1,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.89838,0.03251,0.00271,-0.05738,0.00066,2.66957,,0.0,1 x 22,3.4,5.9,10.5,0.0,0.01,0 x 28,0.0,-0.00664,0.00855,-9e-05,-0.00345,-4e-05,1.27785,,4.6,0.303
2,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.84233,0.04134,0.00362,-0.10976,0.0006,3.13225,0.0,7.05,1106 x 1371,3.46,5.35,11.0,0.0,0.0,0 x 22,0.01,-0.00797,0.01084,0.00081,-0.0034,0.0,1.12392,0.0,4.1,0.27
3,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,1.0,0.0,0.0,0.0,0.0,,,0.0,805 x 61,3.01,3.75,11.5,0.0,0.02,0 x 32,0.02,-0.01514,0.02067,0.00112,-0.00617,0.0,1.0764,460.0,3.6,0.236
4,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,1.0,0.0,0.0,0.0,0.0,,23.0,2.87,1848 x 1671,2.68,3.25,12.0,0.03,0.03,154 x 61,0.03,-0.03305,0.04055,0.00092,-0.01286,0.0,1.06792,427.0,3.1,0.203
5,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,1.0,0.0,0.0,0.0,0.0,,0.0,4.8,1827 x 1776,2.16,2.77,12.5,0.05,0.07,528 x 13,0.06,-0.06592,0.07034,0.00175,-0.02441,-0.00041,1.06074,523.0,2.6,0.17
6,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.84349,0.12117,0.00386,-0.04175,0.00034,1.4058,74.0,2.0,384 x 1315,2.04,2.29,13.0,0.12,0.12,111 x 20,0.12,-0.12546,0.10947,0.00386,-0.04378,-0.00036,1.10015,,2.1,0.137
7,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.77193,0.14467,0.00533,-0.05726,0.00086,1.38281,9.0,1.7,20 x 48,1.74,1.81,13.5,0.22,0.25,323 x 69,0.25,-0.2049,0.14548,0.00477,-0.06561,-8e-05,1.13746,941.0,1.6,0.104
8,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.68676,0.15897,0.0057,-0.0741,0.00078,1.40235,,1.45,21 x 5,1.43,1.46,14.0,0.39,0.42,706 x 66,0.42,-0.29758,0.1722,0.0061,-0.08593,-0.00051,1.16777,,1.1,0.07
9,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.59917,0.16554,0.00629,-0.08647,0.00082,1.42349,353.0,1.13,43 x 57,1.14,1.17,14.5,0.62,0.64,5 x 20,0.62,-0.39514,0.18485,0.00655,-0.10133,-0.00112,1.20757,,0.6,0.037
10,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.51474,0.16305,0.00641,-0.09512,0.00092,1.46628,,0.94,73 x 48,0.93,0.96,15.0,0.89,0.91,71 x 5,0.97,-0.48929,0.18566,0.00677,-0.111,-0.00128,1.24197,,0.1,0.004
11,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.44021,0.15352,0.00684,-0.10021,0.00096,1.52229,,0.74,19 x 15,0.77,0.77,15.5,1.21,1.25,40 x 35,1.24,-0.57636,0.17587,0.00679,-0.11541,-0.00116,1.28291,,0.4,0.029
12,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.37415,0.14217,0.00678,-0.10075,0.00054,1.57084,,0.64,51 x 205,0.61,0.65,16.0,1.57,1.61,25 x 45,1.63,-0.65276,0.16091,0.00651,-0.11365,-0.00161,1.31687,,0.9,0.062
13,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.31857,0.12912,0.0063,-0.09895,0.00081,1.62262,,0.52,53 x 33,0.51,0.52,16.5,1.97,2.0,38 x 21,1.98,-0.71495,0.14209,0.00571,-0.11058,-0.00201,1.36405,,1.4,0.096
14,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.27035,0.11613,0.00568,-0.09428,0.00058,1.66977,,0.44,49 x 38,0.43,0.44,17.0,2.37,2.4,10 x 30,2.4,-0.77477,0.12448,0.00476,-0.10107,-0.00208,1.3646,,1.9,0.129
15,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.23067,0.10342,0.00531,-0.08917,0.00015,1.72021,,0.36,294 x 15,0.35,0.37,17.5,2.81,2.86,30 x 21,2.79,-0.81441,0.10588,0.00424,-0.09436,-0.0016,1.41301,197.0,2.4,0.162
16,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.20149,0.0916,0.00476,-0.08498,0.00071,1.79388,,0.31,3 x 121,0.3,0.32,18.0,3.26,3.3,5 x 44,3.26,-0.85578,0.08865,0.00391,-0.08365,-0.00214,1.41316,218.0,2.9,0.195
17,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.17104,0.08119,0.00409,-0.07761,6e-05,1.82455,,0.23,436 x 66,0.25,0.28,18.5,3.69,3.8,97 x 590,3.63,-0.8781,0.07471,0.00307,-0.07997,-0.00262,1.4742,43.0,3.4,0.228
18,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.14653,0.07186,0.00437,-0.07154,0.0004,1.86586,,0.24,356 x 160,0.21,0.23,19.0,4.16,4.25,410 x 81,4.2,-0.91392,0.05801,0.00264,-0.06592,-0.00235,1.41809,168.0,3.9,0.262
19,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.12948,0.06388,0.00399,-0.06694,-8e-05,1.92851,365.0,0.19,139 x 33,0.18,0.19,19.5,4.3,5.0,3050 x 2413,3.5,-0.95576,0.03441,0.00167,-0.04837,-0.00248,1.24879,10.0,4.4,0.295
20,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.11506,0.05701,0.00375,-0.06364,0.00043,1.99164,,0.18,50 x 868,0.18,0.18,20.0,4.6,5.55,2155 x 1356,4.55,-1.0,0.0,-59.60025,0.0,0.0,0.00124,26.0,4.9,0.328
21,1462219200,2016-05-02 16:00,2016-05-02,16.0,15.06,2016-05-06,1462564800,4,0.10019,0.05066,0.0029,-0.05786,0.0,2.0273,89.0,0.14,426 x 1103,0.14,0.16,20.5,4.8,6.0,2125 x 1452,4.75,-1.0,0.0,-64.59973,0.0,0.0,,1.0,5.4,0.361
