,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,1.0,0.0,0.0,0.0,3.23117,,1.0,3.95,73 x 158,3.85,4.0,0.5,0.0,0.02,0 x 54,0.0,-0.00277,0.00211,-0.00023,-0.00351,0.0,8.37118,,3.9,0.886
1,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,1.0,0.0,0.0,0.0,0.0,,1.0,3.69,60 x 20,3.1,3.45,1.0,0.0,0.01,0 x 56,0.0,-0.00499,0.00473,-1e-05,-0.00289,0.0,5.68973,,3.4,0.772
2,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.85066,0.00325,0.00037,-0.04468,1.58839,9.33838,,0.0,12 x 20,2.91,2.96,1.5,0.0,0.01,0 x 52,0.01,-0.00608,0.00855,-9e-05,-0.00278,0.0,4.18349,5.0,2.9,0.658
3,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.87432,0.00444,0.00022,-0.01505,0.74932,5.50119,0.0,2.64,13 x 13,2.36,2.44,2.0,0.0,0.01,0 x 119,0.0,-0.00812,0.01494,0.00058,-0.00307,0.0,3.12756,,2.4,0.544
4,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,1.0,0.0,0.0,0.0,0.0,,5.0,2.3,60 x 23,1.79,1.95,2.5,0.0,0.0,0 x 132,0.01,-0.01112,0.0263,2e-05,-0.00316,0.0,2.30797,41.0,1.9,0.43
5,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.90699,0.04594,0.00024,-0.01639,0.14242,2.35761,502.0,1.44,22 x 20,1.38,1.44,3.0,0.0,0.02,0 x 288,0.01,-0.01614,0.04964,0.00018,-0.00319,0.0,1.62919,1.0,1.4,0.316
6,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.89215,0.16808,0.00132,-0.01423,0.03727,1.6259,21.0,0.92,20 x 20,0.9,0.94,3.5,0.0,0.01,0 x 1005,0.01,-0.02422,0.11119,0.00065,-0.00283,-2e-05,1.03776,25.0,0.9,0.202
7,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.81281,0.54141,0.00108,-0.01341,0.00456,0.95496,824.0,0.47,20 x 20,0.43,0.45,4.0,0.02,0.03,659 x 244,0.02,-0.12932,0.56889,0.00057,-0.00837,0.0,0.74383,,0.4,0.088
8,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.44052,0.73092,0.00162,-0.02356,0.00054,1.08015,,0.17,11 x 202,0.16,0.18,4.5,0.23,0.24,92 x 10,0.23,-0.57965,0.86816,0.00181,-0.01913,-0.00059,0.90199,,0.1,0.026
9,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.22723,0.43328,0.00194,-0.02307,-0.00026,1.39583,,0.09,256 x 773,0.09,0.09,5.0,0.65,0.7,136 x 81,0.67,-0.81589,0.43792,0.00147,-0.01699,-0.00779,1.18591,562.0,0.6,0.14
10,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.12303,0.25639,0.00138,-0.0165,6e-05,1.59412,,0.04,145 x 1104,0.04,0.06,5.5,1.12,1.18,78 x 4,1.14,-0.88173,0.21591,0.00051,-0.01503,-0.02959,1.5144,256.0,1.1,0.254
11,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.08847,0.17009,0.00037,-0.01535,0.00026,1.89157,,0.03,123 x 228,0.03,0.04,6.0,1.61,1.65,20 x 9,1.64,-0.90959,0.07987,0.00051,-0.0118,-0.07437,1.71706,72.0,1.6,0.368
12,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.06088,0.11659,0.00027,-0.01179,0.00019,2.08033,229.0,0.03,502 x 186,0.01,0.03,6.5,2.07,2.16,22 x 1,2.09,-0.90241,0.01819,0.00076,-0.00513,-0.04985,2.03537,1.0,2.1,0.482
13,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.03823,0.07654,0.00047,-0.00844,0.00031,2.16639,766.0,0.01,1819 x 111,0.0,0.03,7.0,2.58,2.64,20 x 3,2.54,-1.0,0.0,0.0,0.0,0.0,,8.0,2.6,0.596
14,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.03429,0.06366,0.00044,-0.00789,0.00012,2.41364,21.0,0.02,1230 x 256,0.01,0.02,7.5,3.06,3.14,115 x 75,3.05,-1.0,0.0,0.0,0.0,0.0,,10.0,3.1,0.71
15,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.03261,0.05489,0.00049,-0.00825,0.00013,2.64455,186.0,0.01,497 x 263,0.0,0.01,8.0,3.55,3.65,107 x 84,3.54,-1.0,0.0,0.0,0.0,0.0,,8.0,3.6,0.824
16,1620072000,2021-05-03 16:00,2021-05-03,16.0,4.38,2021-05-07,1620417600,4,0.023,0.04007,0.00051,-0.00629,0.00011,2.70158,108.0,0.02,0 x 303,0.0,0.03,8.5,4.05,4.09,74 x 9,4.1,-1.0,0.0,0.0,0.0,0.0,,4.0,4.1,0.938
