,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.00086,0.00093,,0.0,7.5,17 x 13,6.8,6.95,8.0,0.0,0.01,0 x 129,0.0,-0.00428,0.00329,0.00055,-0.00481,0.0,2.84852,,6.9,0.462
1,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.0017,0.00024,,,0.0,27 x 17,6.3,6.45,8.5,0.0,0.01,0 x 224,0.0,-0.00431,0.00391,6e-05,-0.0049,-0.00014,2.59124,,6.4,0.429
2,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.00149,0.00033,,,0.0,26 x 17,5.8,5.95,9.0,0.0,0.01,0 x 204,0.0,-0.00503,0.00477,0.00024,-0.00432,0.0,2.34761,,5.9,0.395
3,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.00123,0.00023,,,0.0,14 x 18,5.3,5.45,9.5,0.0,0.1,0 x 25,0.02,-0.03091,0.01805,0.00078,-0.03804,0.0,2.98453,0.0,5.4,0.362
4,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.98535,0.01318,0.00062,-0.01475,0.00077,2.21459,0.0,4.9,10 x 15,4.85,4.95,10.0,0.0,0.02,0 x 0,0.03,-0.01031,0.01045,0.00053,-0.00828,0.0,2.07502,0.0,4.9,0.328
5,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.98366,0.01606,0.00019,-0.01472,0.00122,1.96938,0.0,8.08,25 x 26,4.35,4.45,10.5,0.0,0.08,0 x 707,0.0,-0.03198,0.02427,0.0009,-0.03023,-0.00048,2.30686,,4.4,0.294
6,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.00126,0.00062,,0.0,5.35,21 x 10,3.7,3.95,11.0,0.0,0.1,0 x 769,0.01,-0.04155,0.03257,0.00145,-0.03597,0.0,2.13779,0.0,3.9,0.261
7,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.94362,0.04421,0.00191,-0.04648,0.00034,1.98736,0.0,5.21,28 x 17,3.35,3.55,11.5,0.0,0.1,0 x 1014,0.03,-0.04697,0.04079,0.00124,-0.03545,0.0,1.87526,0.0,3.4,0.227
8,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.98253,0.0275,0.00051,-0.00994,0.001,1.21056,0.0,4.96,30 x 11,2.8,2.99,12.0,0.0,0.02,0 x 239,0.01,-0.01676,0.02747,0.00073,-0.00825,-4e-05,1.20912,0.0,2.9,0.194
9,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,1.0,0.0,0.0,-0.00171,0.00056,,1.0,2.66,46 x 11,2.29,2.46,12.5,0.0,0.01,0 x 937,0.01,-0.01156,0.02664,0.0003,-0.00468,-0.00026,0.91175,6.0,2.4,0.16
10,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.98565,0.03813,0.00066,-0.00541,0.00092,0.72268,20.0,1.86,3 x 8,1.84,1.94,13.0,0.0,0.01,0 x 592,0.01,-0.01499,0.0397,0.0002,-0.00435,-0.00036,0.73056,1.0,1.9,0.126
11,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.94995,0.11499,0.00163,-0.01631,0.00092,0.70235,5.0,1.8,25 x 2,1.38,1.43,13.5,0.03,0.04,10 x 333,0.04,-0.07462,0.13638,0.00154,-0.02342,0.0,0.8033,24.0,1.4,0.093
12,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.82027,0.25304,0.00328,-0.05255,0.0004,0.80516,110.0,0.95,19 x 27,0.96,1.02,14.0,0.1,0.12,236 x 281,0.11,-0.18443,0.25191,0.00296,-0.05214,-0.00043,0.822,284.0,0.9,0.059
13,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.64013,0.30496,0.00517,-0.09413,0.00029,0.95343,75.0,0.66,28 x 33,0.67,0.73,14.5,0.27,0.29,145 x 16,0.33,-0.3511,0.32697,0.00491,-0.08334,-0.00013,0.88247,405.0,0.4,0.026
14,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.48301,0.30391,0.00563,-0.10734,3e-05,1.01945,447.0,0.46,22 x 45,0.46,0.48,15.0,0.56,0.61,11 x 10,0.58,-0.51656,0.30317,0.00533,-0.1053,-0.0007,1.02155,476.0,0.1,0.008
15,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.35243,0.26264,0.00471,-0.10549,0.00042,1.0991,652.0,0.31,1 x 71,0.31,0.33,15.5,0.88,0.96,26 x 12,0.94,-0.65163,0.26786,0.0046,-0.09988,-0.00032,1.07027,61.0,0.6,0.042
16,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.25742,0.21118,0.00413,-0.0954,-8e-05,1.18811,340.0,0.21,1 x 10,0.22,0.23,16.0,1.27,1.37,1 x 11,1.45,-0.75135,0.2126,0.00366,-0.08671,-0.00068,1.14273,135.0,1.1,0.075
17,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.1944,0.16495,0.00331,-0.08398,0.00064,1.29574,200.0,0.18,120 x 135,0.16,0.18,16.5,1.75,1.82,30 x 12,1.83,-0.80197,0.15946,0.00359,-0.08385,-0.00119,1.30249,41.0,1.6,0.109
18,1698868800,2023-11-01 16:00,2023-11-01,16.0,14.88,2023-11-03,1699041600,2,0.15116,0.12957,0.00305,-0.07531,-0.0002,1.4078,293.0,0.13,188 x 124,0.13,0.14,17.0,2.17,2.27,2 x 19,2.29,-0.85969,0.11604,0.00314,-0.06347,-0.00124,1.31995,54.0,2.1,0.142
