,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,0.0,,0.0,4.8,59 x 27,4.7,4.91,0.5,0.0,0.03,0 x 65,0.0,-0.00482,0.00216,0.00021,-0.01548,0.0,26.81051,,4.9,0.907
1,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,-0.00042,,0.0,4.2,57 x 27,3.71,3.9,1.5,0.0,0.03,0 x 61,0.0,-0.00987,0.00794,-0.00042,-0.01502,0.0,14.34514,,3.9,0.722
2,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,-0.00035,,1.0,3.47,10 x 57,3.26,3.45,2.0,0.0,0.03,0 x 68,0.0,-0.01371,0.01263,0.00032,-0.01559,0.0,11.30412,,3.4,0.629
3,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,0.00023,,1.0,2.74,52 x 16,2.72,2.91,2.5,0.0,0.02,0 x 57,0.0,-0.01663,0.01943,0.00032,-0.01539,0.0,8.94191,,2.9,0.536
4,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,0.0,,7.0,1.85,56 x 16,1.63,1.91,3.5,0.0,0.04,0 x 92,0.12,-0.02838,0.04934,0.00048,-0.01498,0.0,5.39449,0.0,1.9,0.351
5,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,-0.00017,,98.0,1.34,58 x 16,1.28,1.41,4.0,0.0,0.04,0 x 225,0.02,-0.03755,0.08596,0.00025,-0.01466,0.0,3.94043,6.0,1.4,0.258
6,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,1.0,0.0,0.0,0.0,0.00043,,460.0,0.87,187 x 16,0.8,0.91,4.5,0.0,0.01,0 x 100,0.01,-0.02544,0.11528,4e-05,-0.0046,0.0,2.11434,0.0,0.9,0.165
7,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.94965,0.41294,0.00019,-0.00486,-0.00013,1.03626,,0.38,636 x 115,0.37,0.42,5.0,0.0,0.0,0 x 5115,0.02,-0.04754,0.40488,0.00069,-0.00536,-0.00021,1.02395,,0.4,0.072
8,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.11486,2.1537,0.00051,-0.00509,0.00039,0.37425,,0.01,0 x 238,0.0,0.0,5.5,0.11,0.15,1 x 16,0.17,-0.74094,1.95802,0.00123,-0.02476,0.0,0.68039,,0.1,0.02
9,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.03902,0.26286,0.0001,-0.00475,0.0,1.34175,,0.01,0 x 165,0.0,0.01,6.0,0.59,0.73,1 x 78,0.69,-0.82381,0.41789,0.00052,-0.0496,0.0,2.40128,,0.6,0.113
10,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.02702,0.12077,0.00051,-0.00537,0.0,2.11575,,0.01,0 x 786,0.0,0.01,6.5,1.09,1.31,16 x 48,1.18,-0.80744,0.23789,0.00103,-0.09042,0.0,4.2064,,1.1,0.206
11,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.02145,0.07504,0.00019,-0.00545,0.0,2.79082,,0.01,0 x 586,0.0,0.0,7.0,1.55,1.68,30 x 48,1.66,-0.90569,0.02659,-0.0001,-0.00554,-0.00013,3.48952,585.0,1.6,0.299
12,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.01822,0.05351,0.00031,-0.00503,0.0,3.39378,,0.01,0 x 149,0.0,0.02,7.5,2.04,2.19,64 x 56,2.16,-0.89024,0.01504,0.00069,-0.00553,0.0,4.5151,470.0,2.1,0.391
13,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.01574,0.04134,0.00019,-0.00477,0.0,3.94197,185.0,0.01,0 x 193,0.0,0.01,8.0,2.61,2.69,10 x 52,2.67,-0.85212,0.05362,0.0005,-0.04027,0.0,6.32907,273.0,2.6,0.484
14,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.0142,0.03362,0.00052,-0.00529,0.0,4.44567,783.0,0.01,0 x 213,0.0,0.01,8.5,3.1,3.19,2 x 58,3.15,-0.83708,0.03841,0.00057,-0.03959,-0.00036,7.31835,236.0,3.1,0.577
15,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.01308,0.02824,0.00014,-0.00488,0.0,4.91079,40.0,0.01,0 x 137,0.0,0.0,9.0,3.6,3.65,5 x 67,3.66,-0.8328,0.01246,0.00061,-0.01534,0.0,7.81228,274.0,3.6,0.67
16,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.01174,0.02437,0.00034,-0.00545,0.0,5.34358,9.0,0.01,0 x 103,0.0,0.01,9.5,4.1,4.21,10 x 58,4.13,-0.80332,0.02175,0.00088,-0.0402,-0.00041,9.3125,56.0,4.1,0.763
17,1617307200,2021-04-01 16:00,2021-04-01,16.0,5.39,2021-04-01,1617307200,0,0.01104,0.02149,-4e-05,-0.00463,0.0,5.74793,166.0,0.01,0 x 624,0.0,0.01,10.0,4.61,4.71,13 x 56,4.7,-0.78512,0.01689,0.00019,-0.04017,0.0,10.31844,210.0,4.6,0.855
