,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,1,0,0,0,-0.00036,,4,2.4,1 x 20,2.25,2.31,0.5,0,0.01,0 x 1541,0,-0.00535,0.00696,0.00052,-0.00472,0,11.61598,,2.3,0.82
1,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.98849,0.02093,-3.00E-05,-0.00635,-0.00014,7.32599,0,3.1,52 x 50,1.73,1.85,1,0,0.01,0 x 862,0,-0.00934,0.01857,0.00032,-0.00445,0,7.05761,,1.8,0.641
2,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,1,0,0,-9.00E-05,-0.00013,,0,1.9,1 x 1,1.22,1.34,1.5,0,0.01,0 x 637,0,-0.01446,0.04424,0.0004,-0.00448,0,4.45135,,1.3,0.461
3,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.97047,0.13023,0.00049,-0.0061,0.00017,2.67085,4,0.83,21 x 23,0.77,0.81,2,0,0.01,0 x 3796,0.01,-0.02487,0.11941,-0.00025,-0.00482,0,2.57351,0,0.8,0.281
4,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.90378,0.71767,0.00057,-0.0103,-0.00021,1.23995,629,0.3,1 x 3,0.29,0.3,2.5,0,0.01,0 x 1510,0.01,-0.05799,0.59612,0.00054,-0.00467,0,1.01886,195,0.3,0.102
5,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.19865,1.19105,0.00088,-0.01859,0.00041,1.22418,5794,0.03,129 x 291,0.02,0.03,3,0.22,0.23,55 x 100,0.22,-0.88101,1.06947,0.00013,-0.00809,-5.00E-05,0.88314,2190,0.2,0.078
6,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.03794,0.23733,-0.00011,-0.00502,0,1.80745,1440,0.01,0 x 2277,0,0.01,3.5,0.71,0.75,2 x 1,0.7,-0.8879,0.24545,0.00042,-0.01333,-1.00E-05,2.3503,250,0.7,0.257
7,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.02765,0.12644,0.00016,-0.00518,0,2.62351,230,0.01,0 x 737,0,0.01,4,1.2,1.24,541 x 1,1.17,-0.88207,0.03371,0.00025,-0.00361,0,3.29435,438,1.2,0.437
8,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.02235,0.08557,0.00015,-0.00509,0,3.30393,21,0.01,0 x 917,0,0.01,4.5,1.68,1.78,263 x 159,1.63,-0.83773,0.04871,0.00033,-0.01363,-0.00057,4.85391,200,1.7,0.617
9,1685649600,2023-06-01 16:00,2023-06-01,16,2.78,2023-06-02,1685736000,1,0.01948,0.06484,-0.00022,-0.00518,0,3.88852,3,0.01,0 x 161,0,0.01,5,2.16,2.27,1 x 52,1.94,-1,0,0,0,0,,0,2.2,0.796
