,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00115,-0.00027,,1.0,12.96,10 x 10,9.64,12.1,10.0,0.0,0.01,0 x 260,0.0,-0.00226,0.00112,0.0004,-0.00453,0.0,6.60658,,10.7,0.516
1,1,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00114,0.00013,,,0.0,10 x 10,9.14,11.6,10.5,0.0,0.01,0 x 0,0.0,-0.00251,0.00124,5e-05,-0.00525,0.0,6.22238,,10.2,0.492
2,2,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00142,0.00041,,,0.0,10 x 10,8.64,11.1,11.0,0.0,0.01,0 x 0,0.0,-0.00256,0.00141,-0.00033,-0.00546,0.0,5.85631,,9.7,0.468
3,3,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00149,0.00021,,,0.0,10 x 10,8.14,10.6,11.5,0.0,0.01,0 x 0,0.0,-0.00283,0.00164,0.00015,-0.0054,0.0,5.50664,,9.2,0.444
4,4,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00109,0.00027,,8.0,9.39,10 x 10,7.64,10.1,12.0,0.0,0.01,0 x 0,0.0,-0.00284,0.00184,0.00058,-0.00514,0.0,5.17079,,8.7,0.419
5,5,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00102,0.00013,,,0.0,10 x 10,7.14,9.6,12.5,0.0,0.01,0 x 0,0.0,-0.00282,0.00207,-0.0001,-0.00549,0.0,4.84791,,8.2,0.395
6,6,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00159,0.00075,,,0.0,10 x 10,6.64,9.1,13.0,0.0,0.01,0 x 0,0.0,-0.00308,0.00236,-0.00022,-0.00535,0.0,4.53713,,7.7,0.371
7,7,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00088,0.00021,,1.0,6.97,10 x 10,5.14,7.6,14.5,0.0,0.01,0 x 0,0.0,-0.00456,0.00347,-0.00017,-0.005,0.0,3.66676,,6.2,0.298
8,8,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00183,0.00026,,1.0,6.55,10 x 10,4.64,7.1,15.0,0.0,0.01,0 x 0,0.02,-0.0048,0.00399,0.00011,-0.0053,0.0,3.39526,4.0,5.7,0.274
9,9,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00121,-4e-05,,2.0,3.47,10 x 10,2.64,5.1,17.0,0.0,0.01,0 x 0,0.03,-0.00673,0.00766,0.00017,-0.00469,0.0,2.37761,11.0,3.7,0.178
10,10,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00166,0.00016,,2.0,2.6,10 x 10,1.64,4.1,18.0,0.0,0.01,0 x 0,0.01,-0.00803,0.01151,-0.00019,-0.00535,0.0,1.90277,1.0,2.7,0.129
11,11,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.00191,0.00025,,20.0,1.41,10 x 10,0.64,3.11,19.0,0.0,0.02,0 x 0,0.01,-0.01693,0.0274,0.0,-0.00982,-0.00046,1.59079,228.0,1.7,0.081
12,12,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.66994,0.03498,0.00392,-2.98039,0.00024,10.53455,25.0,0.8,0 x 151,0.0,10.0,20.0,0.0,0.5,0 x 0,0.07,-0.17867,0.10651,0.00293,-0.25031,0.0,2.49248,166.0,0.7,0.032
13,13,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,1.0,0.0,0.0,-0.0019,0.00014,,527.0,0.28,0 x 0,0.0,1.25,21.0,0.0,2.33,0 x 100,0.42,-0.36511,0.08982,0.00419,-1.16545,-0.00057,4.24693,750.0,0.3,0.016
14,14,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.61381,0.03015,0.00351,-4.98038,0.00014,12.89328,2538.0,0.07,0 x 151,0.0,10.0,22.0,0.0,10.0,0 x 151,1.65,-0.38187,0.02902,0.00335,-4.99959,-0.00014,12.99111,92.0,1.3,0.064
15,15,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.59446,0.0284,0.00394,-4.99964,0.0003,13.86694,259.0,0.05,0 x 151,0.0,10.0,23.0,0.58,3.74,10 x 10,2.56,-0.55855,0.09816,0.0037,-1.18005,-0.00053,4.0576,22.0,2.3,0.113
16,16,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.27674,0.1163,0.00302,-0.45983,-0.00016,2.92509,522.0,0.04,0 x 10,0.0,0.92,24.0,1.67,4.62,10 x 10,3.53,-0.61011,0.07832,0.00363,-1.16535,-0.00069,4.90217,1.0,3.3,0.161
17,17,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.56513,0.0257,0.0037,-4.99962,0.00037,15.54882,39.0,0.02,0 x 151,0.0,10.0,25.0,2.74,5.54,10 x 10,4.41,-0.64333,0.065,0.00351,-1.16038,-0.00059,5.66407,50.0,4.3,0.209
18,18,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.01334,0.01443,0.00021,-0.01022,0.0004,2.36055,51.0,0.01,0 x 0,0.0,0.02,28.0,5.83,8.44,10 x 10,6.92,-0.69383,0.0424,0.00369,-1.1553,-0.00068,7.61045,1.0,7.3,0.355
19,19,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.00421,0.00266,9e-05,-0.0051,0.0,4.42731,121.0,0.07,0 x 200,0.0,0.01,38.0,15.89,18.37,10 x 10,16.8,-0.70177,0.01611,0.00298,-1.15058,-0.00048,12.70282,1.0,17.3,0.838
20,20,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.0033,0.00174,0.00055,-0.00502,0.0,5.6077,515.0,0.01,0 x 0,0.0,0.01,45.0,22.89,25.36,10 x 10,24.26,-0.65991,0.00938,0.00331,-1.14486,-4e-05,15.99538,1.0,24.3,1.177
21,21,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.45672,0.01589,0.00414,-5.00019,0.00019,25.4434,,0.0,0 x 151,0.0,10.0,47.5,25.39,27.86,10 x 10,0.0,-0.64163,0.00776,0.00253,-1.14509,0.0,17.18189,,26.8,1.298
22,22,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.00268,0.00096,-0.00033,-0.00516,0.0,8.0554,195.0,0.03,0 x 0,0.0,0.01,65.0,42.89,45.35,10 x 10,0.0,-0.50043,0.00265,0.00301,-1.14049,0.0,25.68286,,44.3,2.145
23,23,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.42686,0.01327,0.00369,-5.00023,0.00042,30.14422,,0.0,0 x 151,0.0,10.0,70.0,47.89,50.35,10 x 10,0.0,-0.46006,0.00209,0.00331,-1.14042,-0.0005,28.17386,,49.3,2.387
24,24,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.42269,0.01284,0.00393,-5.00052,-3e-05,30.92189,,0.0,0 x 151,0.0,10.0,75.0,52.89,55.35,10 x 10,0.0,-0.42191,0.00166,0.00318,-1.13967,-0.00021,30.68501,,54.3,2.628
25,25,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.00202,0.00066,0.0005,-0.0049,0.0,9.3817,500.0,0.02,0 x 0,0.0,0.01,80.0,57.89,60.35,10 x 10,0.0,-0.38451,0.00124,0.00324,-1.13982,-0.00053,33.21283,,59.3,2.87
26,26,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.41526,0.01225,0.00419,-5.00048,-8e-05,32.29572,,0.0,0 x 151,0.0,10.0,85.0,62.89,65.35,10 x 10,0.0,-0.35061,0.00104,0.0027,-1.13994,-0.00054,35.75401,,64.3,3.112
27,27,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.00193,0.00058,-0.00034,-0.00492,0.0,10.11892,,0.0,0 x 0,0.0,0.01,90.0,67.89,70.35,10 x 10,68.58,-0.31763,0.00083,0.0028,-1.13997,-0.00029,38.30882,188.0,69.3,3.354
28,28,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.4089,0.01177,0.00417,-5.00004,0.00057,33.47905,,0.0,0 x 151,0.0,10.0,95.0,72.89,75.35,10 x 10,0.0,-0.28661,0.00063,0.00341,-1.13984,-7e-05,40.87457,,74.3,3.596
29,29,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-01,1677704400,0,0.00746,0.0017,-0.00027,-0.02562,0.0,12.46528,,0.0,0 x 0,0.0,0.05,100.0,77.89,80.35,10 x 10,79.52,-0.25849,0.0006,0.00327,-1.1396,-0.00064,43.44827,1.0,79.3,3.838
30,30,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00173,0.00234,,1.0,12.41,250 x 250,10.73,11.08,10.0,0.0,0.01,0 x 265,0.0,-0.0024,0.00117,-0.00021,-0.00264,0.0,2.17693,,10.7,0.516
31,31,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00107,0.00206,,50.0,10.0,250 x 250,10.23,10.58,10.5,0.0,0.01,0 x 80,0.0,-0.00217,0.00126,0.00065,-0.00276,-0.00024,2.05033,,10.2,0.492
32,32,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00181,0.00237,,50.0,10.0,250 x 250,9.74,10.08,11.0,0.0,0.01,0 x 65,0.0,-0.00307,0.00146,7e-05,-0.00315,0.0,1.92958,,9.7,0.468
33,33,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00107,0.00185,,186.0,10.51,250 x 250,9.24,9.58,11.5,0.0,0.01,0 x 57,0.0,-0.00299,0.0016,0.00072,-0.00296,-0.00017,1.81482,,9.2,0.444
34,34,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00147,0.00183,,1.0,11.27,250 x 250,8.74,9.08,12.0,0.0,0.01,0 x 51,0.0,-0.00336,0.00177,0.00072,-0.00253,0.0,1.7036,,8.7,0.419
35,35,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00182,0.00193,,,0.0,250 x 250,8.24,8.58,12.5,0.0,0.01,0 x 10,0.0,-0.00364,0.00204,0.00044,-0.00244,-0.00043,1.59744,,8.2,0.395
36,36,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00185,0.00211,,,0.0,250 x 250,7.74,8.08,13.0,0.0,0.01,0 x 42,0.0,-0.00381,0.00232,0.0001,-0.00266,-0.00017,1.49597,,7.7,0.371
37,37,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00185,0.00248,,,0.0,250 x 250,7.24,7.58,13.5,0.0,0.01,0 x 34,0.0,-0.00414,0.00266,0.00063,-0.00286,-0.00051,1.39681,,7.2,0.347
38,38,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00188,0.00226,,,0.0,250 x 250,6.74,7.08,14.0,0.0,0.01,0 x 60,0.0,-0.00391,0.00297,0.00082,-0.00287,0.0,1.30124,,6.7,0.323
39,39,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00177,0.00255,,,0.0,250 x 250,6.24,6.59,14.5,0.0,0.01,0 x 5,0.0,-0.00402,0.0035,0.00052,-0.00312,-0.00039,1.2091,,6.2,0.298
40,40,1677704400,2023-03-01 16:00,2023-03-01,16.0,20.67,2023-03-07,1678222800,6,1.0,0.0,0.0,-0.00239,0.00239,,139.0,8.9,250 x 250,5.74,6.09,15.0,0.0,0.01,0 x 23,0.01,-0.0043,0.00396,0.0007,-0.00234,-8e-05,1.12,2.0,5.7,0.274
