,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.92826,0.02054,0.00294,-0.08789,0.00134,3.4259,,0.0,20 x 19,6.4,7.3,10.0,0.0,0.02,0 x 0,0.0,-0.0082,0.00591,-1e-05,-0.00645,-0.00025,1.87993,,6.2,0.381
1,1,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.91634,0.02723,0.00323,-0.08446,0.00176,2.90606,,0.0,20 x 19,5.4,6.3,11.0,0.0,0.03,0 x 105,0.0,-0.01321,0.01036,0.00086,-0.00829,0.0,1.64859,,5.2,0.319
2,2,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.90077,0.03706,0.00374,-0.08075,0.00123,2.42493,,0.0,20 x 10,4.41,5.31,12.0,0.0,0.03,0 x 91,0.02,-0.01564,0.01502,0.00039,-0.00822,-0.00028,1.33376,14.0,4.2,0.257
3,3,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,1.0,0.0,0.0,0.0,0.00177,,1.0,5.4,20 x 19,2.85,3.8,13.0,0.0,0.03,0 x 83,0.0,-0.01902,0.02336,0.00082,-0.0076,-0.00049,1.0426,,3.2,0.196
4,4,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,1.0,0.0,0.0,0.0,0.00144,,2.0,2.62,10 x 19,1.9,2.85,14.0,0.0,0.04,0 x 38,0.01,-0.03207,0.04559,0.00116,-0.01022,-3e-05,0.80477,0.0,2.2,0.134
5,5,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.78141,0.1237,0.00562,-0.07171,0.00115,1.22702,15.0,2.18,20 x 9,1.4,2.44,15.0,0.01,0.04,11 x 20,0.03,-0.06154,0.10892,0.00277,-0.01215,-0.00029,0.57423,61.0,1.2,0.072
6,6,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.62401,0.14826,0.00768,-0.10214,0.0016,1.31773,66.0,1.08,3 x 180,1.0,1.67,16.0,0.2,0.4,1000 x 10,0.25,-0.31595,0.2539,0.00734,-0.0522,-0.0009,0.72178,,0.2,0.01
7,7,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.46985,0.15381,0.00734,-0.10833,0.00047,1.33135,808.0,0.65,1 x 303,0.6,1.11,17.0,0.65,0.75,8 x 1,0.7,-0.61798,0.32389,0.00785,-0.04709,-0.00141,0.6042,564.0,0.8,0.052
8,8,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.32596,0.14171,0.00724,-0.09526,0.00081,1.30882,121.0,0.45,1 x 10,0.29,0.7,18.0,1.07,1.6,220 x 4,1.43,-1.0,0.0,0.0,0.0,0.0,,165.0,1.8,0.114
9,9,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.19778,0.11447,0.0054,-0.06783,0.00014,1.25062,134.0,0.26,1 x 1,0.19,0.29,19.0,1.89,2.93,10 x 9,2.24,-0.93097,0.02527,0.00241,-0.00983,-0.00068,0.66122,32.0,2.8,0.176
10,10,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.13923,0.08346,0.00384,-0.05771,0.00014,1.367,321.0,0.23,1 x 4,0.11,0.25,20.0,2.78,3.81,10 x 19,3.2,-1.0,0.0,0.0,0.0,0.0,,0.0,3.8,0.238
11,11,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.09955,0.06135,0.00337,-0.04726,6e-05,1.46662,70.0,0.14,9 x 1,0.11,0.14,21.0,3.7,4.79,20 x 19,3.3,-1.0,0.0,0.0,0.0,0.0,,0.0,4.8,0.299
12,12,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.08979,0.04991,0.00352,-0.04885,8e-05,1.6715,250.0,0.15,10 x 13,0.06,0.2,22.0,4.7,5.69,20 x 19,4.7,-1.0,0.0,0.0,0.0,0.0,,0.0,5.8,0.361
13,13,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.08241,0.04212,0.00268,-0.05102,9e-05,1.86197,263.0,0.04,197 x 13,0.05,0.2,23.0,5.6,6.7,20 x 19,6.09,-1.0,0.0,0.0,0.0,0.0,,10.0,6.8,0.423
14,14,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.05345,0.03063,0.00171,-0.03448,2e-05,1.83578,,0.05,229 x 10,0.04,0.1,24.0,6.6,7.7,20 x 19,4.5,-1.0,0.0,0.0,0.0,0.0,,1.0,7.8,0.485
15,15,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.05708,0.02871,0.00176,-0.04159,0.00054,2.06265,361.0,0.05,150 x 999,0.01,0.17,25.0,7.7,8.71,20 x 19,8.04,-1.0,0.0,0.0,0.0,0.0,,10.0,8.8,0.547
16,16,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01401,0.01113,0.00045,-0.00906,0.00044,1.67421,11.0,0.02,0 x 1,0.0,0.04,26.0,8.7,9.69,20 x 19,6.7,-1.0,0.0,0.0,0.0,0.0,,3.0,9.8,0.609
17,17,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01337,0.0098,0.001,-0.00945,0.00034,1.79043,0.0,0.07,0 x 2,0.0,0.03,27.0,9.71,10.7,20 x 19,9.7,-1.0,0.0,0.0,0.0,0.0,,0.0,10.8,0.671
18,18,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01318,0.00891,0.00082,-0.00913,2e-05,1.90457,0.0,0.04,0 x 2,0.0,0.03,28.0,10.7,11.7,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,11.8,0.733
19,19,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01165,0.00805,0.00099,-0.00988,1e-05,2.01056,0.0,0.03,0 x 2,0.0,0.02,29.0,11.69,12.7,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,12.8,0.795
20,20,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01744,0.00976,0.00069,-0.0147,0.00011,2.25266,2.0,0.07,0 x 63,0.0,0.05,30.0,12.7,13.7,20 x 19,10.48,-1.0,0.0,0.0,0.0,0.0,,1.0,13.8,0.856
21,21,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.03173,0.01319,0.00162,-0.03205,0.00014,2.78076,0.0,0.04,0 x 288,0.0,0.13,32.0,15.2,16.2,20 x 19,0.0,-0.74813,0.00899,0.00491,-0.22948,-0.00132,4.61091,,15.8,0.98
22,22,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02933,0.0112,0.00136,-0.03283,0.00028,3.07963,1.0,0.09,0 x 298,0.0,0.13,35.0,17.69,18.6,20 x 19,14.8,-1.0,0.0,0.0,0.0,0.0,,1.0,18.8,1.166
23,23,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02806,0.01015,0.00168,-0.0341,0.00018,3.26273,,0.0,0 x 288,0.0,0.12,37.0,20.2,21.11,20 x 19,0.0,-0.69445,0.00432,0.00485,-0.2501,-0.00118,5.74842,,20.8,1.29
24,24,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02622,0.00898,0.00095,-0.0342,0.00027,3.51308,2.0,0.04,0 x 299,0.0,0.13,40.0,22.6,23.61,20 x 19,21.2,-1.0,0.0,0.0,0.0,0.0,,8.0,23.8,1.475
25,25,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02356,0.00804,0.00078,-0.03168,-0.00033,3.62214,8.0,0.05,0 x 289,0.0,0.12,42.0,25.1,26.09,20 x 19,0.0,-0.63844,0.00212,0.00531,-0.19978,-0.00163,6.91151,,25.8,1.599
26,26,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02271,0.00724,0.0007,-0.03276,-0.00019,3.83444,1.0,0.05,0 x 299,0.0,0.12,45.0,27.7,28.59,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,28.8,1.785
27,27,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02142,0.00642,0.00133,-0.03252,0.00015,4.1556,,0.0,0 x 299,0.0,0.11,50.0,32.71,33.59,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,33.8,2.094
28,28,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.02033,0.00574,0.00092,-0.03378,0.00037,4.44118,,0.0,0 x 299,0.0,0.11,55.0,37.7,38.6,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,38.8,2.403
29,29,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01943,0.00519,0.00065,-0.03384,0.00031,4.69749,,0.0,0 x 299,0.0,0.12,60.0,42.61,43.6,20 x 19,42.6,-1.0,0.0,0.0,0.0,0.0,,0.0,43.8,2.713
30,30,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01882,0.00477,0.00108,-0.03423,0.00039,4.93064,,0.0,0 x 299,0.0,0.11,65.0,47.6,48.61,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,48.8,3.022
31,31,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01825,0.00447,0.00093,-0.03507,-6e-05,5.14299,,0.0,0 x 299,0.0,0.11,70.0,52.59,53.6,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,53.8,3.332
32,32,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01726,0.00419,0.00103,-0.03456,0.00035,5.33711,,0.0,0 x 299,0.0,0.11,75.0,57.61,58.6,20 x 19,0.0,-1.0,0.0,0.0,0.0,0.0,,,58.8,3.641
33,33,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01727,0.00403,0.0012,-0.03491,0.0,5.51839,100.0,0.02,0 x 310,0.0,0.12,80.0,62.6,63.6,19 x 20,0.0,-1.0,0.0,0.0,0.0,0.0,,,63.8,3.95
34,34,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-05,1549400400,4,0.01688,0.00376,0.00105,-0.03503,-0.00022,5.68797,,0.0,0 x 300,0.0,0.11,85.0,67.59,68.61,19 x 20,0.0,-1.0,0.0,0.0,0.0,0.0,,,68.8,4.26
35,35,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.89839,0.02166,0.00513,-0.05617,0.00314,2.62802,4.0,7.1,8445 x 1585,7.01,7.21,10.0,0.0,0.05,0 x 27485,0.0,-0.01706,0.01112,0.00155,-0.00557,0.0,1.21051,,6.2,0.381
36,36,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.87129,0.03229,0.00706,-0.0522,0.00349,2.07382,10.0,7.19,7442 x 1486,5.5,5.7,11.5,0.0,0.05,0 x 28861,0.05,-0.01876,0.01321,0.00166,-0.00574,0.0,1.10205,5.0,4.7,0.288
37,37,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.86107,0.03724,0.00645,-0.05144,0.00365,1.90285,1.0,6.68,7687 x 1541,4.99,5.2,12.0,0.0,0.04,0 x 30286,0.0,-0.02533,0.02342,0.00158,-0.00529,-0.00025,0.79819,,4.2,0.257
38,38,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.83397,0.05047,0.00812,-0.04701,0.0039,1.57416,0.0,4.4,8085 x 1267,3.99,4.21,13.0,0.0,0.05,0 x 45501,0.05,-0.03227,0.03766,0.00224,-0.00468,-0.00059,0.61061,1.0,3.2,0.196
39,39,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.7848,0.06818,0.00911,-0.04846,0.00324,1.36996,3.0,3.2,2485 x 12167,3.11,3.31,14.0,0.04,0.15,49223 x 52990,0.1,-0.10588,0.09704,0.0058,-0.01303,-0.00104,0.60139,223.0,2.2,0.134
40,40,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.7164,0.09294,0.01049,-0.04839,0.00382,1.1635,179.0,2.35,5678 x 6446,2.25,2.41,15.0,0.15,0.21,57113 x 47,0.19,-0.16777,0.13527,0.00801,-0.01826,-0.00108,0.59289,,1.2,0.072
41,41,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.61091,0.11288,0.01151,-0.05108,0.0028,1.08509,,1.7,14909 x 6943,1.59,1.7,16.0,0.5,0.56,19215 x 4275,0.55,-0.358,0.18514,0.01132,-0.02977,-0.0018,0.64359,,0.2,0.01
42,42,1549054800,2019-02-01 16:00,2019-02-01,16.0,16.16,2019-02-13,1550091600,12,0.49466,0.11775,0.01235,-0.05308,0.00289,1.08206,,1.2,310 x 215,1.14,1.19,17.0,1.0,1.05,25216 x 2,1.05,-0.55372,0.19621,0.01241,-0.0314,-0.00331,0.64049,,0.8,0.052
