,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00089,0.0005,,10.0,12.13,500 x 500,8.92,9.23,10.0,0.0,0.01,0 x 264,0.0,-0.00257,0.0009,-0.00033,-0.00488,0.0,3.60087,,8.6,0.461
1,1,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00109,0.00036,,,0.0,500 x 500,8.42,8.73,10.5,0.0,0.01,0 x 70,0.0,-0.00261,0.00108,0.00041,-0.00462,0.0,3.40362,,8.1,0.434
2,2,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00154,0.00039,,,0.0,500 x 500,7.92,8.23,11.0,0.0,0.01,0 x 0,0.0,-0.0026,0.00116,-0.00031,-0.00512,0.0,3.21471,,7.6,0.407
3,3,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00153,0.00048,,,0.0,500 x 500,7.42,7.73,11.5,0.0,0.01,0 x 0,0.0,-0.00206,0.0013,-0.00023,-0.00508,0.0,3.03544,,7.1,0.38
4,4,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00176,0.00056,,,0.0,500 x 500,6.92,7.23,12.0,0.0,0.01,0 x 0,0.0,-0.00314,0.00142,0.00058,-0.00511,-0.00047,2.86308,,6.6,0.353
5,5,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00167,0.00117,,,0.0,500 x 500,6.42,6.73,12.5,0.0,0.01,0 x 36,0.0,-0.00333,0.00168,0.00039,-0.00499,-0.00015,2.69732,,6.1,0.327
6,6,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00169,0.00091,,,0.0,500 x 500,5.92,6.23,13.0,0.0,0.01,0 x 0,0.0,-0.00314,0.0018,-8e-05,-0.00454,0.0,2.53743,,5.6,0.3
7,7,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00202,0.0006,,1.0,7.43,500 x 500,5.42,5.73,13.5,0.0,0.05,0 x 0,0.0,-0.01151,0.00519,0.00067,-0.0216,0.0,2.90759,,5.1,0.273
8,8,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00174,0.00112,,,0.0,500 x 500,4.92,5.24,14.0,0.0,0.01,0 x 0,0.0,-0.00307,0.00233,-0.00024,-0.00502,-0.00043,2.23501,,4.6,0.246
9,9,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00227,0.00156,,1.0,5.53,500 x 500,4.42,4.74,14.5,0.0,0.01,0 x 24,0.0,-0.00326,0.0026,-0.00016,-0.00451,-0.00025,2.09161,,4.1,0.219
10,10,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.0018,0.00097,,100.0,4.05,100 x 500,4.05,4.23,15.0,0.0,0.01,0 x 60,0.04,-0.00361,0.00295,0.00018,-0.00419,-0.00038,1.95224,10.0,3.6,0.192
11,11,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00267,0.00076,,2.0,4.1,20 x 500,2.95,3.24,16.0,0.0,0.01,0 x 53,0.08,-0.00432,0.00391,0.00055,-0.00447,-0.00031,1.68581,5.0,2.6,0.138
12,12,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00249,0.00129,,12.0,2.63,1 x 504,2.0,2.24,17.0,0.0,0.02,0 x 888,0.02,-0.00958,0.00794,0.00017,-0.00851,0.0,1.56355,5.0,1.6,0.084
13,13,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.0028,0.0016,,277.0,1.27,1 x 565,1.05,1.28,18.0,0.02,0.07,3845 x 98,0.03,-0.03308,0.02234,0.00112,-0.03429,-0.00044,1.65092,23.0,0.6,0.03
14,14,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00298,0.00153,,121.0,0.54,112 x 500,0.42,0.56,19.0,0.34,0.4,590 x 6,0.36,-0.14025,0.04751,0.00486,-0.18982,0.0,2.34739,283.0,0.4,0.024
15,15,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00309,0.00194,,907.0,0.28,7 x 2528,0.25,0.31,20.0,1.09,1.2,2278 x 1,1.1,-0.25385,0.04932,0.00666,-0.40921,-0.00029,3.24359,130.0,1.4,0.078
16,16,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00242,0.0012,,167.0,0.18,80 x 684,0.12,0.2,21.0,1.93,2.08,745 x 46,2.02,-0.32343,0.04574,0.00765,-0.56726,-0.00045,3.91113,58.0,2.4,0.131
17,17,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00338,0.00156,,1525.0,0.1,6 x 3471,0.1,0.13,22.0,2.86,3.15,55 x 39,2.9,-0.37061,0.04076,0.00777,-0.70874,-0.0012,4.60034,8.0,3.4,0.185
18,18,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,1.0,0.0,0.0,-0.00331,0.00131,,194.0,0.1,4 x 2,0.06,0.08,23.0,3.82,4.12,39 x 59,3.75,-0.40461,0.03715,0.00754,-0.81263,-0.00075,5.13776,12.0,4.4,0.239
19,19,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,0.12809,0.29152,0.0038,-0.02571,0.00066,0.35777,19.0,0.02,192 x 4783,0.02,0.07,24.0,4.8,5.09,39 x 20,4.77,-0.42972,0.03409,0.00786,-0.8994,-0.00113,5.61878,1.0,5.4,0.293
20,20,1680552000,2023-04-03 16:00,2023-04-03,16.0,18.56,2023-04-05,1680724800,2,0.07556,0.11745,0.00301,-0.02742,0.00021,0.60483,191.0,0.04,1 x 154,0.03,0.05,25.0,5.79,6.0,39 x 50,3.7,-0.45075,0.0318,0.00784,-0.96716,-0.00077,6.01858,200.0,6.4,0.347
