,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.002,,4.0,4.95,50 x 100,3.06,3.87,10.0,0.0,0.02,0 x 134,0.01,-0.00753,0.00587,0.00099,-0.00442,-0.00029,1.58825,15.0,2.5,0.201
1,1,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00213,,,0.0,50 x 100,2.54,3.36,10.5,0.0,0.02,0 x 0,0.07,-0.01176,0.00863,0.00092,-0.00651,0.0,1.52896,40.0,2.0,0.161
2,2,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00209,,,0.0,50 x 100,2.05,2.86,11.0,0.0,0.03,0 x 0,0.24,-0.01333,0.01037,0.00121,-0.00701,-0.00011,1.39294,4.0,1.5,0.121
3,3,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.0021,,6.0,2.24,100 x 100,1.56,2.37,11.5,0.0,0.07,0 x 1,0.29,-0.0237,0.01708,0.00096,-0.01114,0.0,1.40098,4.0,1.0,0.081
4,4,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00253,,15.0,1.45,5 x 200,1.45,1.9,12.0,0.04,0.1,10 x 20,0.07,-0.044,0.02767,0.00188,-0.02067,-0.0001,1.45905,20.0,0.5,0.042
5,5,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.0023,,10.0,1.25,1 x 1,1.1,1.5,12.5,0.05,0.2,50 x 10,0.15,-0.07331,0.03978,0.00303,-0.03344,-1e-05,1.52342,26.0,0.0,0.002
6,6,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00202,,57.0,0.9,5 x 1,0.64,0.96,13.0,0.15,0.4,5 x 9,0.35,-0.12602,0.0523,0.00487,-0.05791,-0.0005,1.71895,37.0,0.5,0.038
7,7,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00242,,303.0,0.65,5 x 2,0.6,0.89,13.5,0.5,1.0,1 x 10,0.67,-0.2103,0.05406,0.00674,-0.1124,-0.00073,2.32108,372.0,1.0,0.078
8,8,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00223,,54.0,0.58,60 x 250,0.2,0.58,14.0,0.7,1.21,5 x 1,0.9,-0.24691,0.05802,0.00723,-0.12642,-0.0005,2.36588,13.0,1.5,0.118
9,9,1577998800,2020-01-02 16:00,2020-01-02,16.0,12.52,2020-01-08,1578517200,6,1.0,0.0,0.0,0.0,0.00266,,36.0,0.35,1 x 5,0.4,0.55,14.5,0.91,1.95,2084 x 1670,1.15,-0.29238,0.05439,0.0082,-0.15892,-0.0016,2.73574,151.0,2.0,0.158
