,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00091,,25.0,4.33,20 x 55,4.19,4.65,10.0,0.0,0.01,0 x 0,0.0,-0.00409,0.00388,0.0006,-0.00436,0.0,2.22661,,4.1,0.291
1,1,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00085,,,0.0,45 x 25,3.4,4.16,10.5,0.0,0.01,0 x 0,0.0,-0.00454,0.00469,0.00023,-0.00474,-0.00014,2.02916,,3.6,0.256
2,2,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00114,,,0.0,25 x 41,3.07,3.66,11.0,0.0,0.02,0 x 0,0.0,-0.00493,0.00557,0.00047,-0.00475,-0.00033,1.84094,,3.1,0.22
3,3,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00108,,,0.0,40 x 25,2.6,3.16,11.5,0.0,0.0,0 x 167,0.0,-0.00599,0.0068,0.00044,-0.00444,0.0,1.65972,,2.6,0.185
4,4,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00077,,0.0,3.15,15 x 55,1.92,2.66,12.0,0.0,0.0,0 x 1,0.01,-0.00637,0.00831,0.00071,-0.00427,0.0,1.48573,6.0,2.1,0.15
5,5,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.0009,,0.0,3.07,15 x 51,1.44,2.17,12.5,0.0,0.03,0 x 190,0.01,-0.02168,0.02122,0.00048,-0.01539,-0.00048,1.60181,11.0,1.6,0.114
6,6,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00065,,,0.0,46 x 25,1.06,1.67,13.0,0.01,0.07,18 x 135,0.05,-0.04523,0.03809,0.00162,-0.03369,-0.00055,1.67222,32.0,1.1,0.079
7,7,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00088,,27.0,0.95,110 x 82,0.53,1.19,13.5,0.03,0.14,2 x 10,0.06,-0.07017,0.05484,0.00215,-0.04925,-0.00037,1.62697,26.0,0.6,0.043
8,8,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00084,,136.0,0.55,271 x 243,0.35,0.81,14.0,0.09,0.29,301 x 10,0.23,-0.13209,0.07817,0.00368,-0.09562,-0.00044,1.81651,124.0,0.1,0.008
9,9,1562011200,2019-07-01 16:00,2019-07-01,16.0,14.11,2019-07-03,1562184000,2,1.0,0.0,0.0,0.0,0.00112,,118.0,0.37,2 x 1,0.25,0.55,14.5,0.24,0.69,1390 x 10,0.45,-0.22111,0.08814,0.0042,-0.17501,0.0,2.23992,32.0,0.4,0.028
