,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.0009,0.00037,,7.0,8.07,500 x 500,6.18,6.58,10.0,0.0,0.01,0 x 0,0.0,-0.00267,0.00109,-0.00016,-0.00484,0.0,3.48207,,6.1,0.379
1,1,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00182,0.0009,,,0.0,500 x 500,5.68,6.08,10.5,0.0,0.02,0 x 0,0.0,-0.00458,0.00187,-0.00013,-0.00921,0.0,3.54997,,5.6,0.347
2,2,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00193,0.00104,,,0.0,500 x 500,5.18,5.58,11.0,0.0,0.01,0 x 0,0.0,-0.00274,0.00133,-0.0002,-0.00472,0.0,3.09565,,5.1,0.316
3,3,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00119,0.0012,,,0.0,500 x 500,4.68,5.08,11.5,0.0,0.01,0 x 0,0.0,-0.00287,0.0015,0.00021,-0.00506,0.0,2.91463,,4.6,0.285
4,4,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00151,0.00095,,,0.0,499 x 500,4.17,4.58,12.0,0.0,0.01,0 x 60,0.02,-0.00289,0.00164,6e-05,-0.00434,-0.00021,2.74231,92.0,4.1,0.254
5,5,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00205,0.00131,,,0.0,500 x 500,3.67,4.08,12.5,0.0,0.01,0 x 0,0.0,-0.00317,0.00185,0.00019,-0.00431,-0.00042,2.57573,,3.6,0.223
6,6,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00195,0.00085,,501.0,5.4,500 x 500,3.17,3.59,13.0,0.0,0.02,0 x 0,0.01,-0.0055,0.00328,0.00012,-0.00925,0.0,2.61377,5.0,3.1,0.192
7,7,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00202,0.00124,,1.0,6.2,500 x 500,2.67,3.09,13.5,0.0,0.02,0 x 154,0.01,-0.00648,0.00369,0.00052,-0.00909,-0.00032,2.45918,45.0,2.6,0.161
8,8,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00224,0.00152,,21.0,2.9,502 x 502,2.17,2.6,14.0,0.0,0.02,0 x 0,0.02,-0.00643,0.00414,0.00033,-0.00871,-0.00026,2.29059,6.0,2.1,0.13
9,9,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00236,0.00128,,,0.0,548 x 41,1.66,2.06,14.5,0.02,0.03,10 x 522,0.03,-0.01413,0.00768,0.00109,-0.02086,-0.0002,2.41708,61.0,1.6,0.099
10,10,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00228,0.00074,,5.0,1.12,666 x 41,1.19,1.58,15.0,0.02,0.08,3 x 2134,0.04,-0.02562,0.01211,0.00076,-0.03939,0.0,2.51939,85.0,1.1,0.068
11,11,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00239,0.00094,,156.0,0.65,19 x 500,0.6,0.8,16.0,0.2,0.26,5 x 43,0.24,-0.07788,0.02477,0.0031,-0.14266,-0.00036,3.03222,150.0,0.1,0.006
12,12,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.0023,0.00163,,549.0,0.31,6 x 10,0.27,0.32,17.0,0.8,0.9,20 x 303,0.95,-0.16891,0.03168,0.0051,-0.37837,-0.00025,4.09955,112.0,0.9,0.057
13,13,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00214,0.0014,,104.0,0.2,3 x 620,0.17,0.21,18.0,1.65,1.98,20 x 707,2.0,-0.23769,0.03034,0.00567,-0.62355,-0.00064,5.23846,24.0,1.9,0.119
14,14,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00291,0.00144,,118.0,0.11,36 x 44,0.08,0.13,19.0,2.7,2.94,1 x 650,2.83,-0.28081,0.02812,0.00602,-0.8113,-0.00023,6.13788,59.0,2.9,0.181
15,15,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.0032,0.00138,,59.0,0.07,280 x 529,0.05,0.11,20.0,3.54,3.92,20 x 685,3.71,-0.3115,0.02666,0.00687,-0.94069,-0.00064,6.74029,16.0,3.9,0.243
16,16,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.00336,0.00126,,21.0,0.06,141 x 100,0.05,0.07,21.0,4.51,4.91,151 x 678,4.98,-0.3342,0.02495,0.00685,-1.05963,-0.00059,7.34955,1.0,4.9,0.305
17,17,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,1.0,0.0,0.0,-0.0034,0.00162,,24.0,0.08,10 x 410,0.05,0.07,22.0,5.49,5.9,151 x 674,3.15,-0.35107,0.02341,0.00757,-1.1605,-0.00098,7.8949,1.0,5.9,0.367
18,18,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.1566,0.43409,0.0043,-0.02454,-7e-05,0.28618,5.0,0.08,2 x 502,0.03,0.06,23.0,6.48,6.89,61 x 671,3.35,-0.36504,0.02209,0.00726,-1.24896,-0.00043,8.39585,17.0,6.9,0.429
19,19,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.06892,0.132,0.00231,-0.02103,2e-05,0.5217,68.0,0.05,281 x 390,0.01,0.05,24.0,7.48,7.88,70 x 670,4.44,-0.37571,0.0208,0.00683,-1.32679,-0.00102,8.86247,3.0,7.9,0.492
20,20,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.05051,0.07168,0.0019,-0.02215,-0.00015,0.75264,1.0,0.02,19 x 481,0.01,0.05,25.0,8.48,8.88,20 x 679,6.41,-0.3848,0.01965,0.00738,-1.39648,-0.00063,9.30293,20.0,8.9,0.554
21,21,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.05074,0.05273,0.00187,-0.02929,-0.00041,1.01401,20.0,0.06,0 x 1478,0.0,0.08,26.0,9.43,9.87,20 x 507,5.86,-0.39152,0.01868,0.00725,-1.4537,-0.00074,9.67581,5.0,9.9,0.616
22,22,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.03913,0.03698,0.00188,-0.0272,0.00031,1.18558,48.0,0.17,1 x 630,0.01,0.06,27.0,10.43,10.87,20 x 506,8.3,-0.39732,0.01771,0.00687,-1.51003,-0.00105,10.06799,20.0,10.9,0.678
23,23,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.03787,0.03067,0.00164,-0.03168,0.00019,1.4023,224.0,0.05,231 x 841,0.01,0.07,28.0,11.43,11.86,20 x 505,0.0,-0.40061,0.01682,0.00703,-1.56037,-0.00163,10.43471,,11.9,0.74
24,24,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01637,0.01574,0.00068,-0.01321,-0.00017,1.36037,533.0,0.04,0 x 632,0.0,0.03,29.0,12.42,12.86,20 x 505,0.0,-0.40412,0.01601,0.00755,-1.6067,-0.00133,10.78719,,12.9,0.802
25,25,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.0151,0.01313,0.00069,-0.01313,0.00013,1.51136,22.0,0.02,0 x 466,0.0,0.03,30.0,13.42,13.86,20 x 504,13.69,-0.40568,0.01521,0.00692,-1.65013,-0.00146,11.132,6.0,13.9,0.865
26,26,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01747,0.01299,0.00078,-0.01689,-0.0002,1.71566,2.0,0.03,10 x 493,0.01,0.03,31.0,14.39,14.86,504 x 504,0.0,-0.40718,0.01457,0.00688,-1.68865,-0.0011,11.44571,,14.9,0.927
27,27,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01269,0.00968,0.00017,-0.013,6e-05,1.78617,45.0,0.03,0 x 508,0.0,0.03,32.0,15.39,15.86,504 x 504,0.0,-0.40816,0.01385,0.00671,-1.72672,-0.00133,11.76999,,15.9,0.989
28,28,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00535,0.0045,0.00019,-0.00511,0.00023,1.6886,1246.0,0.04,0 x 25,0.0,0.01,33.0,16.39,16.85,503 x 503,0.0,-0.40802,0.01319,0.00706,-1.76099,-0.00098,12.07939,,16.9,1.051
29,29,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00893,0.0061,0.00046,-0.00914,0.00042,1.94565,5.0,0.06,0 x 40,0.0,0.02,34.0,17.39,17.85,503 x 503,0.0,-0.40625,0.01265,0.00662,-1.79516,-0.00154,12.39003,,17.9,1.113
30,30,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00778,0.00551,0.00073,-0.00957,-9e-05,2.06024,852.0,0.05,0 x 330,0.0,0.02,35.0,18.39,18.85,503 x 503,14.35,-0.40573,0.01201,0.00661,-1.82752,-0.00119,12.69316,1.0,18.9,1.175
31,31,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01832,0.00932,0.00134,-0.02555,-0.00026,2.49484,1.0,0.04,0 x 1508,0.0,0.06,36.0,19.39,19.85,502 x 502,0.0,-0.40314,0.01151,0.00653,-1.85822,-0.00127,12.99257,,19.9,1.237
32,32,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00405,0.00298,0.00023,-0.00454,0.00048,2.11904,1.0,0.07,0 x 24,0.0,0.01,37.0,20.39,20.85,502 x 502,0.0,-0.40134,0.01093,0.00681,-1.8886,-0.00141,13.28622,,20.9,1.3
33,33,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01738,0.00802,0.00098,-0.02555,-5e-05,2.72573,,0.0,0 x 1050,0.0,0.06,38.0,21.39,21.85,502 x 502,0.0,-0.39857,0.0105,0.007,-1.91694,-0.00178,13.57724,,21.9,1.362
34,34,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01668,0.00744,0.0007,-0.026,0.00033,2.83966,1.0,0.13,0 x 1050,0.0,0.06,39.0,22.39,22.84,502 x 502,0.0,-0.39567,0.01007,0.0071,-1.94378,-0.00118,13.85709,,22.9,1.424
35,35,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.01336,0.00631,0.00038,-0.02248,-0.00021,2.87622,17.0,0.05,0 x 30,0.0,0.05,40.0,23.39,23.84,501 x 501,0.0,-0.39259,0.00962,0.00644,-1.97099,-0.00108,14.14134,,23.9,1.486
36,36,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00647,0.0032,-1e-05,-0.00987,-0.00026,2.82115,20.0,0.05,0 x 296,0.0,0.02,42.5,25.89,26.34,501 x 501,0.0,-0.38308,0.00853,0.00637,-2.03632,-0.00137,14.84373,,26.4,1.641
37,37,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.0144,0.00536,0.00118,-0.02695,0.00036,3.43664,5.0,0.05,0 x 1050,0.0,0.06,45.0,28.39,28.83,501 x 501,0.0,-0.37341,0.00772,0.00653,-2.09726,-0.00134,15.52859,,28.9,1.797
38,38,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.005,0.00247,0.00031,-0.00946,-0.0003,3.23089,5.0,0.04,0 x 196,0.0,0.02,47.5,30.9,31.33,500 x 500,0.0,-0.36141,0.00686,0.00605,-2.15905,-0.00125,16.22344,,31.4,1.952
39,39,1682971200,2023-05-01 16:00,2023-05-01,16.0,16.09,2023-05-03,1683144000,2,0.00563,0.00227,0.00075,-0.00985,0.00032,3.42176,1.0,0.01,0 x 0,0.0,0.02,50.0,33.4,33.83,500 x 500,0.0,-0.34959,0.00621,0.0067,-2.2176,-0.00104,16.9087,,33.9,2.108
