,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.95294,0.002,0.00238,-0.47276,0.00063,,,0.0,150 x 150,26.85,29.53,10.0,0.0,0.03,0 x 260,0.02,-0.00738,0.00592,0.00066,-0.0057,-7e-05,1.71645,10.0,27.2,0.731
1,1,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.95049,0.00203,0.00198,-0.48607,0.00049,,,0.0,150 x 150,26.35,29.02,10.5,0.0,0.02,0 x 260,0.0,-0.00839,0.00701,9e-05,-0.00524,0.0,1.564,,26.7,0.718
2,2,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.9494,0.00213,0.00182,-0.49887,0.00056,,45.0,33.4,150 x 150,25.85,28.53,11.0,0.0,0.02,0 x 260,0.0,-0.00892,0.00826,0.00074,-0.0054,0.0,1.41907,,26.2,0.704
3,3,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94734,0.00213,0.00199,-0.51146,0.0003,,,0.0,150 x 150,25.35,28.03,11.5,0.0,0.03,0 x 10,0.0,-0.00988,0.01002,0.00062,-0.00559,-0.00015,1.28388,,25.7,0.691
4,4,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94651,0.00225,0.00271,-0.52272,-0.00025,,,0.0,150 x 150,24.84,27.53,12.0,0.0,0.03,0 x 260,0.0,-0.01574,0.01501,0.00042,-0.00746,0.0,1.21692,,25.2,0.677
5,5,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94416,0.00222,0.00268,-0.53447,1e-05,,,0.0,150 x 150,24.34,27.03,12.5,0.0,0.03,0 x 260,0.0,-0.01766,0.01855,0.0014,-0.00669,-0.0004,1.08298,,24.7,0.664
6,6,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94294,0.00232,0.00257,-0.54575,-7e-05,,,0.0,150 x 150,23.84,26.53,13.0,0.0,0.02,0 x 260,0.0,-0.01902,0.02337,0.00053,-0.00733,0.0,0.95265,,24.2,0.651
7,7,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94138,0.00238,0.00209,-0.55634,-5e-05,,,0.0,150 x 150,23.34,26.03,13.5,0.0,0.04,0 x 260,0.0,-0.02222,0.03035,0.00082,-0.00725,-0.00056,0.82593,,23.7,0.637
8,8,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.94059,0.00234,0.00256,-0.56724,0.00062,,,0.0,150 x 150,22.85,25.53,14.0,0.0,0.03,0 x 260,0.0,-0.02543,0.04038,0.00168,-0.00616,0.0,0.69898,,23.2,0.624
9,9,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.93883,0.00242,0.00229,-0.57832,0.00051,,5.0,22.61,150 x 150,22.34,25.03,14.5,0.0,0.03,0 x 10,0.0,-0.03829,0.06376,0.00189,-0.00765,0.0,0.60768,,22.7,0.61
10,10,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.93791,0.00246,0.00271,-0.58813,-2e-05,,,0.0,150 x 150,21.84,24.53,15.0,0.0,0.05,0 x 260,0.0,-0.05435,0.10268,0.00192,-0.00867,0.0,0.50209,,22.2,0.597
11,11,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.93447,0.00256,0.00227,-0.60728,3e-05,,,0.0,150 x 150,20.85,23.53,16.0,0.0,0.06,0 x 260,0.0,-0.11667,0.37731,0.0039,-0.00825,-0.00034,0.24451,,21.2,0.57
12,12,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.9318,0.00266,0.00249,-0.6266,0.00064,,5.0,20.01,150 x 150,19.83,22.54,17.0,0.0,0.08,0 x 260,0.07,-1.0,0.0,0.0,0.0,0.0,,10.0,20.2,0.543
13,13,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.92961,0.00271,0.00261,-0.64416,0.00054,,,0.0,150 x 150,18.82,21.54,18.0,0.0,0.09,0 x 271,0.0,-1.0,0.0,0.0,0.0,0.0,,,19.2,0.516
14,14,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.92686,0.00282,0.00284,-0.66142,-4e-05,,,0.0,150 x 150,17.83,20.55,19.0,0.0,0.46,0 x 250,0.0,-1.0,0.0,0.0,0.0,0.0,,,18.2,0.489
15,15,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.92493,0.00286,0.00294,-0.67797,-0.00018,,2.0,14.56,150 x 150,16.83,19.55,20.0,0.0,0.45,0 x 250,0.0,-1.0,0.0,0.0,0.0,0.0,,,17.2,0.462
16,16,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.92245,0.00295,0.00301,-0.69388,0.00029,,,0.0,150 x 150,15.83,18.56,21.0,0.0,0.46,0 x 250,0.0,-1.0,0.0,0.0,0.0,0.0,,,16.2,0.435
17,17,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.9198,0.00294,0.00275,-0.7096,-0.00021,,1.0,10.77,150 x 150,14.82,17.56,22.0,0.0,0.46,0 x 250,0.05,-1.0,0.0,0.0,0.0,0.0,,100.0,15.2,0.409
18,18,1588363200,2020-05-01 16:00,2020-05-01,16.0,37.2,2020-05-06,1588795200,5,0.91828,0.00302,0.00343,-0.72434,-0.00013,,0.0,12.0,150 x 150,13.81,16.56,23.0,0.0,0.46,0 x 250,0.11,-1.0,0.0,0.0,0.0,0.0,,20.0,14.2,0.382
