,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.8922,0.0062,0.0037,-1.01395,0.00043,15.33324,,0.0,251 x 251,13.7,15.6,10.0,0.0,0.34,0 x 0,0.0,-0.03486,0.00744,0.00197,-0.11143,0.0,5.31578,,14.5,0.591
1,1,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.88486,0.00693,0.00385,-1.01285,0.00082,14.57854,,0.0,251 x 251,13.2,15.09,10.5,0.0,0.46,0 x 0,0.0,-0.0437,0.00897,0.00169,-0.14031,0.0,5.34382,,14.0,0.571
2,2,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.876,0.00759,0.0044,-1.01024,0.00042,13.87347,,0.0,251 x 251,12.7,14.6,11.0,0.0,0.33,0 x 0,0.0,-0.03894,0.00923,0.00123,-0.11051,-0.00034,4.73069,,13.5,0.55
3,3,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.86717,0.00835,0.00381,-1.00552,0.00018,13.21135,,0.0,251 x 251,12.2,14.1,11.5,0.0,0.01,0 x 0,0.0,-0.00258,0.00184,-0.00017,-0.00414,-0.00021,2.60271,,13.0,0.53
4,4,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.85919,0.00916,0.00397,-0.99957,0.00048,12.58656,,0.0,251 x 251,11.7,13.6,12.0,0.0,0.01,0 x 57,0.0,-0.00313,0.00206,0.0001,-0.00492,0.0,2.43625,,12.5,0.51
5,5,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.84951,0.0101,0.0045,-0.99217,6e-05,11.99504,,0.0,251 x 251,11.2,13.1,12.5,0.0,0.02,0 x 0,0.0,-0.00578,0.00369,0.00068,-0.00867,0.0,2.47666,,12.0,0.489
6,6,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.84042,0.01098,0.00478,-0.98263,0.00064,11.43241,,0.0,251 x 251,10.7,12.6,13.0,0.0,0.02,0 x 45,0.0,-0.00648,0.00423,-0.00013,-0.00868,0.0,2.31407,,11.5,0.469
7,7,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.83074,0.012,0.00474,-0.9725,0.00015,10.89597,,0.0,251 x 251,10.2,12.09,13.5,0.0,0.02,0 x 41,0.0,-0.007,0.00471,0.00062,-0.00864,0.0,2.14697,,11.0,0.448
8,8,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.82066,0.01298,0.00474,-0.96058,0.00074,10.38255,0.0,11.8,251 x 251,9.7,11.6,14.0,0.0,0.02,0 x 37,0.0,-0.00731,0.00534,0.00041,-0.00842,-0.00011,1.989,,10.5,0.428
9,9,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.81045,0.01417,0.00565,-0.94778,0.00018,9.88991,,0.0,251 x 251,9.2,11.11,14.5,0.0,0.02,0 x 84,0.03,-0.00813,0.00624,0.00077,-0.0084,0.0,1.83916,50.0,10.0,0.407
10,10,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.80013,0.0154,0.00502,-0.93408,0.00013,9.41565,1.0,11.39,251 x 251,8.69,10.6,15.0,0.0,0.03,0 x 50,0.0,-0.01233,0.00903,0.00102,-0.01235,0.0,1.78763,,9.5,0.387
11,11,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.77592,0.01812,0.00537,-0.90132,0.00019,8.51497,,0.0,251 x 251,7.7,9.6,16.0,0.0,0.15,0 x 1352,0.0,-0.04447,0.0246,0.00224,-0.05043,0.0,1.97794,,8.5,0.346
12,12,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.74979,0.02139,0.00573,-0.86337,0.00105,7.66506,,0.0,251 x 251,6.7,8.6,17.0,0.0,0.15,0 x 1352,0.0,-0.05379,0.0344,0.00251,-0.04933,-0.00014,1.6332,,7.5,0.305
13,13,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.72079,0.02538,0.00633,-0.81802,0.0009,6.85854,1.0,8.71,251 x 251,5.7,7.6,18.0,0.0,0.03,0 x 4,0.08,-0.02166,0.02808,0.00135,-0.01179,0.0,0.95116,1.0,6.5,0.264
14,14,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.68736,0.03011,0.00712,-0.76653,0.0006,6.08067,1.0,5.76,251 x 251,4.7,6.6,19.0,0.0,0.04,0 x 254,0.03,-0.03523,0.05552,0.00148,-0.01492,0.0,0.72564,0.0,5.5,0.224
15,15,1596484800,2020-08-03 16:00,2020-08-03,16.0,24.47,2020-08-05,1596657600,2,0.64712,0.03605,0.00724,-0.70472,0.00112,5.32094,10.0,4.71,251 x 251,3.69,5.6,20.0,0.0,0.04,0 x 289,0.01,-0.06213,0.13277,0.00239,-0.01564,0.0,0.47451,0.0,4.5,0.183
