,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00065,107.16122,0.0,0.0,0.0,,,0.0,15 x 15,3.2,3.59,10.0,0.0,0.05,0 x 7433,0.0,-1.0,0.0,0.0,0.0,0.0,,,3.6,0.267
1,1,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00098,97.04532,0.0,0.0,0.0,,25.0,2.37,15 x 15,2.25,2.55,11.0,0.0,0.06,0 x 5198,0.0,-1.0,0.0,0.0,0.0,0.0,,,2.6,0.194
2,2,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00113,88.56836,0.0,0.0,0.0,,45.0,2.25,15 x 33,1.75,2.05,12.0,0.0,0.05,0 x 5630,0.01,-1.0,0.0,0.0,0.0,0.0,,1.0,1.6,0.12
3,3,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00091,81.36525,0.0,0.0,0.0,,344.0,0.8,15 x 18,0.8,1.04,13.0,0.05,0.1,610 x 148,0.03,-1.0,0.0,0.0,0.0,0.0,,,0.6,0.047
4,4,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00037,75.1718,0.0,0.0,0.0,,577.0,0.31,195 x 15,0.26,0.4,14.0,0.76,1.0,68 x 68,0.85,-1.0,0.0,0.0,0.0,0.0,,113.0,0.4,0.026
5,5,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00074,69.79216,0.0,0.0,0.0,,353.0,0.15,172 x 3,0.09,0.16,15.0,1.15,1.45,33 x 33,1.25,-0.99989,0.0,0.0,0.0,0.0,,110.0,1.4,0.1
6,6,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00081,65.07765,0.0,0.0,0.0,,418.0,0.11,110 x 3874,0.05,0.15,16.0,2.05,2.26,201 x 26,2.4,-1.0,0.0,0.0,0.0,0.0,,148.0,2.4,0.173
7,7,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00029,60.91393,0.0,0.0,0.0,,,0.05,0 x 250,0.0,0.05,17.0,2.99,3.4,177 x 211,3.3,-0.99997,-355271.36788,0.0,0.0,0.0,,12.0,3.4,0.246
8,8,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00051,57.2111,0.0,0.0,0.0,,,0.05,0 x 820,0.0,0.05,18.0,4.0,4.3,121 x 141,3.6,-0.99987,-355271.36789,0.0,0.0,0.0,,3.0,4.4,0.32
9,9,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00061,53.8979,0.0,0.0,0.0,,20.0,0.05,0 x 3448,0.0,0.04,19.0,4.99,5.3,121 x 130,0.0,-0.99993,-355271.3679,0.0,0.0,0.0,,,5.4,0.393
10,10,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.0,50.91694,0.0,0.0,0.0,,250.0,0.05,0 x 4777,0.0,0.05,20.0,6.0,6.39,94 x 235,0.0,-1.0,-355271.36788,0.0,0.0,0.0,,,6.4,0.466
11,11,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00052,48.22154,0.0,0.0,0.0,,0.0,0.05,0 x 5029,0.0,0.05,21.0,7.0,7.4,119 x 215,0.0,-0.99965,-355271.36783,0.0,0.0,0.0,,,7.4,0.54
12,12,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.0007,45.77324,0.0,0.0,0.0,,0.0,0.1,0 x 5245,0.0,0.05,22.0,8.0,8.4,25 x 100,0.0,-0.99991,-355271.36789,0.0,0.0,0.0,,,8.4,0.613
13,13,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00063,43.54018,0.0,0.0,0.0,,,0.0,0 x 5038,0.0,0.04,23.0,8.8,9.4,100 x 100,0.0,-0.99994,-355271.36785,0.0,0.0,0.0,,,9.4,0.686
14,14,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00014,41.49588,0.0,0.0,0.0,,0.0,0.05,0 x 5301,0.0,0.05,24.0,9.81,10.4,100 x 100,0.0,-1.0,-355271.36787,0.0,0.0,0.0,,,10.4,0.76
15,15,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00038,39.61771,0.0,0.0,0.0,,0.0,0.05,0 x 5639,0.0,0.04,25.0,10.91,11.41,100 x 100,10.8,-1.0,-355271.36786,0.0,0.0,0.0,,2.0,11.4,0.833
16,16,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00045,37.88685,0.0,0.0,0.0,,0.0,0.05,0 x 5435,0.0,0.05,26.0,11.8,12.4,100 x 100,0.0,-1.0,-355271.36785,0.0,0.0,0.0,,,12.4,0.906
17,17,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00058,36.28682,0.0,0.0,0.0,,,0.0,0 x 5693,0.0,0.05,27.0,12.8,13.39,100 x 100,0.0,-0.9998,-355271.36787,0.0,0.0,0.0,,,13.4,0.979
18,18,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00033,34.80375,0.0,0.0,0.0,,,0.0,0 x 5905,0.0,0.04,28.0,13.8,14.4,100 x 100,0.0,-0.99991,-355271.36785,0.0,0.0,0.0,,,14.4,1.053
19,19,1475524800,2016-10-03 16:00,2016-10-03,16.0,13.64,2016-10-04,1475611200,1,0.00044,33.42551,0.0,0.0,0.0,,0.0,0.05,0 x 5911,0.0,0.05,29.0,14.8,15.4,100 x 100,0.0,-1.0,-355271.36785,0.0,0.0,0.0,,,15.4,1.126
