,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00028,,3.0,16.1,368 x 368,12.9,14.8,10.0,0.0,0.02,0 x 859,0.01,-0.00131,0.00044,0.00058,-0.00477,0.0,5.40664,0.0,13.2,0.568
1,1,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00092,,,0.0,391 x 391,12.41,14.3,10.5,0.0,0.01,0 x 212,0.0,-0.00153,0.0005,-0.00029,-0.00479,0.0,5.16266,,12.7,0.547
2,2,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00033,,,0.0,368 x 368,11.9,13.79,11.0,0.0,0.01,0 x 183,0.0,-0.00119,0.00055,0.00044,-0.00482,0.0,4.93007,,12.2,0.525
3,3,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00051,,,0.0,391 x 391,11.4,13.31,11.5,0.0,0.01,0 x 163,0.0,-0.00215,0.00063,-0.00037,-0.00485,0.0,4.70829,,11.7,0.504
4,4,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00079,,,0.0,368 x 368,10.9,12.81,12.0,0.0,0.01,0 x 144,0.0,-0.00169,0.00071,0.00046,-0.00527,0.0,4.49634,,11.2,0.482
5,5,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00047,,,0.0,368 x 368,10.4,12.3,12.5,0.0,0.01,0 x 130,0.0,-0.00193,0.00071,-0.00028,-0.00455,0.0,4.29278,,10.7,0.461
6,6,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00045,,,0.0,368 x 368,9.9,11.8,13.0,0.0,0.02,0 x 118,0.0,-0.00191,0.00079,0.00038,-0.00485,0.0,4.09726,,10.2,0.439
7,7,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00095,,,0.0,368 x 368,9.41,11.3,13.5,0.0,0.01,0 x 124,0.0,-0.00236,0.00092,-4e-05,-0.00458,0.0,3.90845,,9.7,0.417
8,8,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00069,,,0.0,368 x 368,8.9,10.8,14.0,0.0,0.01,0 x 114,0.0,-0.00264,0.00098,0.00013,-0.00496,0.0,3.72661,,9.2,0.396
9,9,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00064,,,0.0,361 x 361,8.39,10.3,14.5,0.0,0.01,0 x 106,0.0,-0.00219,0.00106,-0.00033,-0.00493,0.0,3.55175,,8.7,0.374
10,10,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.0004,,3.0,10.94,361 x 361,7.91,9.8,15.0,0.0,0.02,0 x 114,0.0,-0.00195,0.0012,0.00026,-0.00499,0.0,3.3819,,8.2,0.353
11,11,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00112,,0.0,10.8,361 x 361,6.91,8.8,16.0,0.0,0.01,0 x 100,0.06,-0.00281,0.00142,0.00017,-0.00517,0.0,3.05732,1.0,7.2,0.309
12,12,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00082,,4.0,8.95,361 x 361,5.91,7.8,17.0,0.0,0.01,0 x 89,0.04,-0.00326,0.00171,0.00058,-0.00456,0.0,2.75247,10.0,6.2,0.266
13,13,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00117,,20.0,5.77,361 x 361,4.91,6.8,18.0,0.0,0.01,0 x 81,0.07,-0.00322,0.00205,-0.0002,-0.00481,0.0,2.46385,50.0,5.2,0.223
14,14,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00119,,450.0,5.8,779 x 779,3.9,5.8,19.0,0.0,0.01,0 x 71,0.08,-0.00363,0.00258,0.00069,-0.0054,-0.00025,2.18894,6.0,4.2,0.18
15,15,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,-0.00013,0.00081,,41.0,3.75,1116 x 2,2.96,4.1,20.0,0.0,0.0,0 x 142,0.01,-0.00429,0.00331,0.00049,-0.00451,0.0,1.92642,257.0,3.2,0.137
16,16,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00123,,1.0,2.05,738 x 738,1.95,3.8,21.0,0.0,0.02,0 x 2,0.01,-0.00444,0.00426,-0.0002,-0.00464,-0.00037,1.67485,104.0,2.2,0.094
17,17,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,-0.00029,0.00151,,51.0,1.82,1016 x 1189,1.0,2.76,22.0,0.0,0.01,0 x 1,0.01,-0.00589,0.0057,0.00071,-0.0051,0.0,1.43279,168.0,1.2,0.051
18,18,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00071,,163.0,1.2,775 x 740,0.59,1.35,23.0,0.1,0.14,2 x 10,0.12,-0.06624,0.03247,0.00295,-0.10896,0.0,2.03541,,0.2,0.007
19,19,1614632400,2021-03-01 16:00,2021-03-01,16.0,23.17,2021-03-02,1614718800,1,1.0,0.0,0.0,0.0,0.00121,,313.0,0.52,2 x 775,0.36,0.65,24.0,0.49,0.61,1 x 1,0.5,-0.17568,0.04848,0.00498,-0.40248,-0.0003,2.75012,456.0,0.8,0.036
