,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.84437,0.00109,0.00157,-1.9739,0.00047,30.50047,1.0,17.89,20 x 20,23.25,23.77,10.0,0.0,0.01,0 x 249,0.01,-0.00104,0.00037,0.00044,-0.00523,0.0,5.58431,1.0,23.9,0.705
1,1,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.84165,0.00128,0.00173,-1.97647,0.00039,28.59024,20.0,17.17,20 x 20,22.75,23.27,10.5,0.0,0.01,0 x 234,0.0,-0.00123,0.00036,0.00031,-0.00484,0.0,5.34132,,23.4,0.69
2,2,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.83878,0.00148,0.00173,-1.97394,0.0,26.89838,8.0,16.67,20 x 20,22.25,22.77,11.0,0.0,0.01,0 x 211,0.0,-0.0016,0.00049,0.00023,-0.00468,0.0,5.11013,,22.9,0.676
3,3,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.83619,0.00174,0.00212,-1.9678,-0.00017,25.38581,,0.0,20 x 20,21.75,22.27,11.5,0.0,0.01,0 x 193,0.0,-0.00125,0.00049,-9e-05,-0.00478,0.0,4.88947,,22.4,0.661
4,4,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.83386,0.00199,0.00278,-1.95795,0.00047,24.02476,,0.0,20 x 20,21.25,21.77,12.0,0.0,0.01,0 x 177,0.0,-0.00184,0.00049,0.00037,-0.00498,0.0,4.67785,,21.9,0.646
5,5,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.83081,0.00229,0.0028,-1.9471,2e-05,22.79115,8.0,15.0,20 x 20,20.75,21.27,12.5,0.0,0.01,0 x 165,0.0,-0.00172,0.00057,0.00052,-0.00467,0.0,4.47441,,21.4,0.631
6,6,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.82872,0.00264,0.00241,-1.93301,0.00058,21.66605,10.0,14.51,20 x 20,20.25,20.77,13.0,0.0,0.01,0 x 153,0.02,-0.00212,0.0006,-0.00016,-0.005,0.0,4.27946,5.0,20.9,0.617
7,7,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.82617,0.00296,0.00274,-1.91903,0.00059,20.63338,10.0,0.0,20 x 20,19.75,20.27,13.5,0.0,0.01,0 x 142,0.0,-0.00163,0.00068,0.0002,-0.00507,0.0,4.09174,,20.4,0.602
8,8,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.82445,0.00328,0.00313,-1.90376,0.0005,19.6827,,0.0,20 x 20,19.25,19.77,14.0,0.0,0.01,0 x 130,0.0,-0.00161,0.00076,7e-05,-0.00485,0.0,3.91099,,19.9,0.587
9,9,1646168400,2022-03-01 16:00,2022-03-01,16.0,33.92,2022-03-02,1646254800,1,0.82228,0.00371,0.00349,-1.88794,0.00043,18.80327,,0.0,20 x 20,18.75,19.27,14.5,0.0,0.01,0 x 124,0.01,-0.0023,0.00081,0.00041,-0.0049,0.0,3.73691,29.0,19.4,0.573
