,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00087,0.00157,,21.0,8.1,800 x 714,6.43,6.9,10.0,0.0,0.02,0 x 0,0.0,-0.00586,0.00296,0.00053,-0.00498,-0.00018,2.03348,,5.8,0.366
1,1,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00171,0.00243,,,0.0,31 x 695,5.36,5.85,11.0,0.0,0.01,0 x 5,0.0,-0.00363,0.00248,0.00072,-0.00282,0.0,1.62271,,4.8,0.303
2,2,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00143,0.00233,,,0.0,42 x 714,4.33,4.86,12.0,0.0,0.01,0 x 4,0.01,-0.00457,0.00333,-0.00011,-0.0028,-3e-05,1.39264,6.0,3.8,0.24
3,3,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00219,0.0021,,70.0,3.6,717 x 717,3.31,3.88,13.0,0.0,0.01,0 x 18,0.01,-0.00512,0.00453,0.00038,-0.00309,0.0,1.18037,13.0,2.8,0.176
4,4,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00158,0.00214,,,0.0,180 x 95,2.45,2.96,14.0,0.01,0.04,1 x 126,0.03,-0.02008,0.01504,0.00105,-0.01038,0.0,1.22292,4.0,1.8,0.113
5,5,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.0023,0.00286,,43.0,1.8,21 x 5,1.56,1.85,15.0,0.06,0.12,166 x 3,0.07,-0.05818,0.03442,0.00325,-0.02715,0.0,1.28233,407.0,0.8,0.049
6,6,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00221,0.0028,,126.0,1.1,1 x 2,0.99,1.1,16.0,0.29,0.47,96 x 86,0.28,-0.15658,0.0575,0.00616,-0.07461,-0.00106,1.5858,447.0,0.2,0.014
7,7,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.0027,0.00273,,567.0,0.65,2 x 56,0.59,0.82,17.0,0.94,1.0,8 x 8,1.02,-0.26469,0.06266,0.00867,-0.13005,-0.00141,1.98146,108.0,1.2,0.077
8,8,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00231,0.00363,,205.0,0.45,4 x 19,0.45,0.5,18.0,1.7,1.93,1 x 50,2.0,-0.34607,0.05721,0.00972,-0.18187,-0.00163,2.44165,115.0,2.2,0.141
9,9,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,1.0,0.0,0.0,-0.00234,0.00348,,93.0,0.41,78 x 605,0.3,0.43,19.0,2.6,2.85,1 x 100,2.72,-0.40119,0.05128,0.0097,-0.22148,-0.00133,2.8381,11.0,3.2,0.204
10,10,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.34514,0.27811,0.01008,-0.03829,0.0011,0.50335,32.0,0.25,1 x 93,0.25,0.34,20.0,3.43,3.82,30 x 80,2.1,-0.44105,0.0468,0.01037,-0.25061,-0.00244,3.14813,3.0,4.2,0.267
11,11,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.22071,0.15959,0.00789,-0.04242,0.00056,0.70618,7.0,0.2,191 x 93,0.18,0.27,21.0,4.37,4.77,30 x 56,3.25,-0.46974,0.04264,0.01011,-0.27617,-0.00259,3.44986,3.0,5.2,0.331
12,12,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.1563,0.1057,0.00673,-0.04017,0.00029,0.85975,18.0,0.15,222 x 530,0.14,0.21,22.0,5.31,5.74,30 x 80,4.05,-0.4926,0.03897,0.01018,-0.29767,-0.00245,3.72511,5.0,6.2,0.394
13,13,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.1266,0.07657,0.00552,-0.04137,0.00069,1.02702,7.0,0.18,40 x 190,0.14,0.18,23.0,6.28,6.71,30 x 80,3.97,-0.50932,0.03577,0.01064,-0.316,-0.00285,3.98661,20.0,7.2,0.458
14,14,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.09314,0.05656,0.00403,-0.03491,-0.00011,1.11598,21.0,0.07,233 x 124,0.09,0.15,24.0,7.25,7.69,30 x 56,4.4,-0.52216,0.03298,0.01014,-0.33268,-0.00289,4.23171,1.0,8.2,0.521
15,15,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.07915,0.045,0.0041,-0.03446,-0.00016,1.24585,1071.0,0.1,218 x 248,0.08,0.14,25.0,8.24,8.68,30 x 80,6.57,-0.53192,0.03052,0.01028,-0.34855,-0.00311,4.47428,5.0,9.2,0.584
16,16,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.06587,0.03612,0.00304,-0.03184,0.0006,1.34401,2.0,0.16,213 x 140,0.07,0.12,26.0,9.22,9.66,85 x 151,5.94,-0.53934,0.02831,0.0097,-0.362,-0.00314,4.69383,10.0,10.2,0.648
17,17,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.05897,0.03058,0.00343,-0.03179,-0.00027,1.46053,6.0,0.09,226 x 127,0.06,0.12,27.0,10.21,10.66,30 x 80,0.0,-0.54458,0.02631,0.00953,-0.37501,-0.00244,4.91672,,11.2,0.711
18,18,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.04876,0.02492,0.0028,-0.02737,0.00032,1.52785,18.0,0.08,228 x 131,0.05,0.1,28.0,11.21,11.64,30 x 80,8.3,-0.54798,0.02451,0.00968,-0.38747,-0.00322,5.126,10.0,12.2,0.774
19,19,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.04128,0.02093,0.00234,-0.02536,0.0001,1.60059,2.0,0.11,223 x 228,0.04,0.09,29.0,12.19,12.64,30 x 56,0.0,-0.54969,0.02286,0.00971,-0.39818,-0.00283,5.32751,,13.2,0.838
20,20,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.0415,0.01938,0.0023,-0.02719,-0.00035,1.72848,34.0,0.06,137 x 237,0.05,0.09,30.0,13.2,13.63,30 x 78,11.54,-0.54994,0.02132,0.00976,-0.40974,-0.00282,5.53383,2.0,14.2,0.901
21,21,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.03686,0.0171,0.00189,-0.02633,0.00023,1.80772,1.0,0.15,144 x 244,0.04,0.09,31.0,14.11,14.62,55 x 78,0.0,-0.55227,0.02007,0.00928,-0.41706,-0.00298,5.68239,,15.2,0.965
22,22,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.03342,0.01517,0.00235,-0.02504,0.00038,1.88091,1.0,0.1,142 x 247,0.04,0.08,32.0,15.11,15.62,55 x 78,0.0,-0.55135,0.01873,0.00997,-0.42769,-0.0034,5.88015,,16.2,1.028
23,23,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02804,0.01283,0.00207,-0.02151,0.00032,1.9171,100.0,0.07,1 x 233,0.03,0.07,33.0,16.11,16.61,55 x 23,0.0,-0.54837,0.01759,0.00964,-0.43782,-0.00336,6.06775,,17.2,1.091
24,24,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02742,0.01185,0.00118,-0.02125,-0.00015,2.00372,10.0,0.2,152 x 247,0.03,0.07,34.0,17.1,17.61,55 x 78,0.0,-0.54555,0.0165,0.00893,-0.44726,-0.00319,6.25383,,18.2,1.155
25,25,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02664,0.01108,0.00203,-0.02174,-0.00022,2.08673,18.0,0.06,149 x 264,0.03,0.07,35.0,18.11,18.62,793 x 78,16.36,-0.54156,0.01545,0.00968,-0.45888,-0.0031,6.45419,5.0,19.2,1.218
26,26,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02134,0.00937,0.0009,-0.01861,-0.00035,2.10076,5.0,0.06,227 x 238,0.02,0.06,36.0,19.09,19.6,55 x 78,17.46,-0.53906,0.01457,0.00935,-0.46669,-0.00274,6.6196,2.0,20.2,1.281
27,27,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02076,0.00871,0.00082,-0.01815,0.0001,2.17502,1.0,0.16,243 x 164,0.02,0.06,37.0,20.08,20.6,78 x 78,0.0,-0.53442,0.01369,0.00951,-0.47646,-0.00283,6.79993,,21.2,1.345
28,28,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.02074,0.00825,0.0015,-0.01891,-1e-05,2.24808,,0.0,212 x 258,0.02,0.06,38.0,21.08,21.59,164 x 55,0.0,-0.52901,0.01289,0.00885,-0.48556,-0.00284,6.97933,,22.2,1.408
29,29,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01815,0.00733,0.00082,-0.01636,-7e-05,2.27742,1.0,0.13,262 x 675,0.01,0.06,39.0,22.1,22.6,750 x 55,0.0,-0.52286,0.01206,0.00907,-0.49769,-0.00326,7.18,,23.2,1.471
30,30,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01701,0.00691,0.00141,-0.01709,-0.00042,2.34549,12.0,0.04,160 x 37,0.02,0.05,40.0,23.08,23.59,100 x 150,0.0,-0.51762,0.01136,0.00905,-0.5055,-0.00308,7.3474,20.0,24.2,1.535
31,31,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01456,0.00567,0.00086,-0.01477,0.00017,2.45684,75.0,0.15,253 x 293,0.01,0.05,42.5,25.52,26.16,508 x 508,0.0,-0.50127,0.00986,0.00938,-0.53098,-0.00332,7.81098,,26.7,1.693
32,32,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01226,0.00461,0.00086,-0.01283,-0.00031,2.54817,1.0,0.01,0 x 760,0.0,0.05,45.0,28.06,28.57,78 x 55,0.0,-0.48577,0.0085,0.00926,-0.55398,-0.00351,8.24207,,29.2,1.852
33,33,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00942,0.00378,0.00051,-0.01058,-7e-05,2.61614,1721.0,0.04,0 x 296,0.0,0.04,47.5,30.51,31.15,507 x 507,0.0,-0.46691,0.00738,0.00899,-0.58094,-0.00338,8.71752,,31.7,2.01
34,34,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00891,0.0034,0.0008,-0.01052,0.0,2.74088,151.0,0.03,10 x 844,0.01,0.03,50.0,33.08,33.71,722 x 722,31.47,-0.44368,0.00636,0.00842,-0.61176,-0.00296,9.25616,2.0,34.2,2.169
35,35,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00724,0.00247,0.00093,-0.00892,-0.00046,2.88033,15.0,0.07,0 x 737,0.0,0.03,55.0,38.0,38.64,506 x 506,0.0,-0.41052,0.00496,0.00805,-0.65665,-0.00367,10.10115,,39.2,2.485
36,36,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00686,0.00219,0.00046,-0.00869,-6e-05,3.0827,15.0,0.02,0 x 328,0.0,0.03,60.0,43.07,43.7,721 x 721,0.0,-0.36849,0.0038,0.00839,-0.7113,-0.00347,11.12552,,44.2,2.802
37,37,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00425,0.0016,0.0008,-0.00575,0.00044,3.14197,,0.0,0 x 5,0.0,0.02,65.0,48.0,48.62,721 x 721,0.0,-0.33597,0.00298,0.0081,-0.75547,-0.00306,11.99368,,49.2,3.119
38,38,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00443,0.00145,0.00015,-0.00581,-0.00019,3.30654,,0.0,0 x 692,0.0,0.02,70.0,53.06,53.68,720 x 720,0.0,-0.29736,0.00233,0.00747,-0.80642,-0.00267,13.03858,,54.2,3.436
39,39,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01026,0.00268,0.00114,-0.01587,-0.00033,3.85646,,0.0,0 x 0,0.0,0.06,75.0,57.99,58.6,720 x 720,0.0,-0.26788,0.00183,0.00732,-0.84706,-0.00307,13.92519,,59.2,3.753
40,40,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.01041,0.00257,0.00118,-0.01661,-0.00045,4.01198,,0.0,0 x 0,0.0,0.06,80.0,62.99,63.59,718 x 718,0.0,-0.23781,0.00151,0.0074,-0.89012,-0.0026,14.91048,,64.2,4.07
41,41,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00991,0.00239,0.00071,-0.01666,-0.00013,4.14637,,0.0,0 x 0,0.0,0.06,85.0,67.99,68.58,718 x 718,0.0,-0.20899,0.0012,0.00775,-0.92974,-0.00258,15.90451,,69.2,4.387
42,42,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.0115,0.00267,0.00129,-0.02187,-0.0003,4.41424,,0.0,0 x 0,0.0,0.08,90.0,72.97,73.59,503 x 503,0.0,-0.18367,0.00098,0.00685,-0.96646,-0.00278,16.90783,,74.2,4.703
43,43,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00908,0.00215,0.00024,-0.01724,-5e-05,4.4021,5.0,0.01,0 x 0,0.0,0.06,95.0,77.96,78.58,503 x 503,0.0,-0.16022,0.00081,0.00717,-1.00025,-0.00264,17.91112,,79.2,5.02
44,44,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-07,1686168000,6,0.00885,0.00208,0.0006,-0.01701,0.00027,4.52206,5.0,0.01,0 x 0,0.0,0.06,100.0,82.96,83.57,502 x 502,0.0,-0.13923,0.00066,0.00673,-1.0321,-0.00258,18.92874,,84.2,5.337
45,45,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00089,0.00327,,10.0,7.3,5 x 465,7.11,7.48,10.0,0.0,0.06,0 x 0,0.01,-0.01251,0.00526,0.00143,-0.00654,-0.00017,1.65001,1.0,5.8,0.366
46,46,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00122,0.0044,,,0.0,31 x 465,6.02,6.49,11.0,0.0,0.02,0 x 0,0.0,-0.00642,0.00387,0.0002,-0.00286,-2e-05,1.23798,,4.8,0.303
47,47,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00174,0.00455,,,0.0,27 x 465,5.05,5.51,12.0,0.0,0.06,0 x 0,0.0,-0.01703,0.00895,0.00126,-0.00684,0.0,1.23876,,3.8,0.24
48,48,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00212,0.00461,,,0.0,46 x 466,4.07,4.53,13.0,0.01,0.03,1 x 132,0.03,-0.01449,0.00973,0.0011,-0.00479,0.0,0.99211,5.0,2.8,0.176
49,49,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00149,0.00546,,,0.0,81 x 550,3.1,3.57,14.0,0.01,0.05,198 x 3,0.05,-0.02276,0.01621,0.00217,-0.00568,-0.0003,0.88453,6.0,1.8,0.113
50,50,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00161,0.00571,,8.0,2.6,111 x 1017,2.2,2.67,15.0,0.08,0.14,406 x 13,0.12,-0.066,0.03607,0.00488,-0.01593,-0.0007,0.944,21.0,0.8,0.049
51,51,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00244,0.00592,,139.0,1.76,1 x 10,1.65,1.86,16.0,0.27,0.4,952 x 2,0.33,-0.14714,0.05772,0.00888,-0.03314,-0.00096,1.06318,30.0,0.2,0.014
52,52,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00223,0.00606,,72.0,1.15,20 x 1071,1.2,1.37,17.0,0.74,0.97,975 x 20,0.71,-0.25533,0.06582,0.01195,-0.05738,-0.00211,1.29767,78.0,1.2,0.077
53,53,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,1.0,0.0,0.0,-0.00281,0.00672,,301.0,0.95,1 x 937,0.9,1.06,18.0,1.43,1.6,207 x 50,1.36,-0.3411,0.06501,0.01346,-0.07596,-0.0027,1.4987,16.0,2.2,0.141
54,54,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.64142,0.27852,0.01422,-0.02012,0.00417,0.35634,41.0,0.63,20 x 890,0.7,0.85,19.0,2.21,2.56,222 x 20,2.32,-0.40577,0.05836,0.01446,-0.09426,-0.00364,1.75926,6.0,3.2,0.204
55,55,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.42113,0.17927,0.01503,-0.0325,0.00263,0.58028,23.0,0.66,7 x 564,0.57,0.69,20.0,3.06,3.44,83 x 20,2.86,-0.45366,0.05329,0.01509,-0.10698,-0.00409,1.95767,3.0,4.2,0.267
56,56,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.31125,0.13198,0.01288,-0.03523,0.00188,0.71197,12.0,0.54,158 x 2,0.43,0.57,21.0,3.93,4.35,190 x 20,2.99,-0.48945,0.04872,0.01453,-0.11617,-0.00414,2.13417,2.0,5.2,0.331
57,57,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.24835,0.10033,0.01198,-0.0373,0.00126,0.8388,6.0,0.37,20 x 72,0.38,0.48,22.0,4.83,5.28,127 x 30,3.82,-0.5177,0.04457,0.01517,-0.12521,-0.00518,2.29983,1.0,6.2,0.394
58,58,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.20163,0.07983,0.01099,-0.03677,0.00163,0.93626,1.0,0.45,20 x 76,0.32,0.41,23.0,5.77,6.21,81 x 30,4.11,-0.5397,0.04088,0.01514,-0.13186,-0.0047,2.45729,3.0,7.2,0.458
59,59,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.16635,0.06513,0.00942,-0.03504,0.00066,1.01906,7.0,0.28,20 x 79,0.26,0.36,24.0,6.71,7.17,81 x 30,0.0,-0.5572,0.03753,0.01464,-0.13825,-0.00566,2.60906,,8.2,0.521
60,60,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.14191,0.05423,0.00874,-0.03386,0.00051,1.10197,137.0,0.27,2 x 83,0.24,0.31,25.0,7.66,8.13,81 x 30,6.62,-0.57072,0.03464,0.01447,-0.14434,-0.00513,2.75125,1.0,9.2,0.584
61,61,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.11804,0.04548,0.00717,-0.03168,0.00071,1.15808,13.0,1.09,105 x 86,0.19,0.27,26.0,8.62,9.09,81 x 30,6.94,-0.58113,0.03205,0.01459,-0.14907,-0.00549,2.88685,5.0,10.2,0.648
62,62,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.10104,0.03868,0.00659,-0.02911,0.00082,1.2174,5.0,0.3,89 x 89,0.16,0.24,27.0,9.59,10.07,80 x 30,8.44,-0.58816,0.02958,0.01442,-0.15439,-0.00604,3.02503,1.0,11.2,0.711
63,63,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.08418,0.03266,0.006,-0.02623,0.00075,1.25558,186.0,0.12,92 x 25,0.15,0.18,28.0,10.56,11.04,577 x 30,9.0,-0.59383,0.02744,0.01404,-0.15873,-0.00535,3.15277,4.0,12.2,0.774
64,64,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.07149,0.02795,0.00552,-0.0241,0.00071,1.29671,15.0,0.31,93 x 5,0.12,0.16,29.0,11.54,12.02,664 x 30,0.0,-0.59739,0.02539,0.01346,-0.16403,-0.00633,3.28217,,13.2,0.838
65,65,1685649600,2023-06-01 16:00,2023-06-01,16.0,15.78,2023-06-14,1686772800,13,0.06415,0.02468,0.00443,-0.02251,0.00058,1.35676,1.0,0.2,96 x 1,0.11,0.15,30.0,12.53,13.0,631 x 30,0.0,-0.59922,0.02361,0.0131,-0.16859,-0.00607,3.41157,,14.2,0.901
