,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00092,134.63076,0.0,0.0,0.0,,6.0,2.15,50 x 50,2.09,2.35,8.0,0.0,0.06,0 x 3057,0.0,-1.0,0.0,0.0,0.0,0.0,,,2.2,0.212
1,1,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00146,119.4351,0.0,0.0,0.0,,,1.65,379 x 241,1.55,1.84,9.0,0.0,0.05,0 x 3769,0.0,-0.99964,0.0,0.0,0.0,0.0,,,1.2,0.113
2,2,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00089,107.16131,0.0,0.0,0.0,,,0.85,834 x 7,0.8,0.85,10.0,0.45,0.5,1 x 2339,0.4,-1.0,0.0,0.0,0.0,0.0,,330.0,0.2,0.015
3,3,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00036,97.04549,0.0,0.0,0.0,,468.0,0.45,99 x 128,0.45,0.49,11.0,1.06,1.29,2468 x 2673,1.2,-1.0,0.0,0.0,0.0,0.0,,85.0,0.8,0.084
4,4,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00103,88.56846,0.0,0.0,0.0,,87.0,0.25,5806 x 5552,0.15,0.3,12.0,1.91,2.16,841 x 325,2.05,-1.0,0.0,0.0,0.0,0.0,,1.0,1.8,0.182
5,5,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00025,81.36538,0.0,0.0,0.0,,166.0,0.15,4688 x 2952,0.1,0.2,13.0,2.4,2.65,35 x 349,2.64,-1.0,0.0,0.0,0.0,0.0,,1.0,2.8,0.281
6,6,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00069,75.172,0.0,0.0,0.0,,25.0,0.15,218 x 1760,0.1,0.15,14.0,3.79,4.1,20 x 20,0.0,-1.0,0.0,0.0,0.0,0.0,,,3.8,0.379
7,7,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00064,69.79228,0.0,0.0,0.0,,564.0,0.15,5936 x 3156,0.05,0.15,15.0,4.3,4.61,20 x 271,4.6,-1.0,0.0,0.0,0.0,0.0,,2.0,4.8,0.478
8,8,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00059,65.07773,0.0,0.0,0.0,,725.0,0.08,1526 x 567,0.05,0.1,16.0,5.2,5.61,10 x 10,5.15,-0.99991,0.0,0.0,0.0,0.0,,0.0,5.8,0.576
9,9,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0004,60.91395,0.0,0.0,0.0,,2.0,0.05,15 x 1455,0.06,0.11,17.0,6.2,6.5,10 x 10,0.0,-1.0,-355271.36784,0.0,0.0,0.0,,,6.8,0.675
10,10,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00091,57.21115,0.0,0.0,0.0,,0.0,0.1,230 x 2995,0.04,0.11,18.0,7.1,7.5,10 x 10,0.0,-1.0,-355271.36789,0.0,0.0,0.0,,,7.8,0.773
11,11,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00025,53.89801,0.0,0.0,0.0,,40.0,0.05,200 x 4996,0.05,0.1,19.0,8.11,8.6,10 x 10,0.0,-0.99981,-355271.36789,0.0,0.0,0.0,,,8.8,0.872
12,12,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00064,50.91699,0.0,0.0,0.0,,973.0,0.05,0 x 5406,0.0,0.09,20.0,9.1,9.6,10 x 10,0.0,-1.0,-355271.3679,0.0,0.0,0.0,,,9.8,0.97
13,13,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00028,48.22161,0.0,0.0,0.0,,,0.05,0 x 539,0.0,0.05,21.0,10.1,10.6,10 x 10,0.0,-0.9997,-355271.36786,0.0,0.0,0.0,,,10.8,1.069
14,14,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00063,45.77333,0.0,0.0,0.0,,490.0,0.05,0 x 282,0.0,0.05,22.0,11.1,11.61,10 x 10,0.0,-0.99966,-355271.36792,0.0,0.0,0.0,,,11.8,1.167
15,15,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00065,43.54026,0.0,0.0,0.0,,500.0,0.05,0 x 51,0.0,0.05,23.0,12.1,12.6,10 x 10,0.0,-1.0,-355271.36791,0.0,0.0,0.0,,,12.8,1.266
16,16,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00069,41.49597,0.0,0.0,0.0,,0.0,0.05,0 x 1898,0.0,0.06,24.0,13.1,13.6,10 x 10,0.0,-1.0,-355271.36784,0.0,0.0,0.0,,,13.8,1.365
17,17,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,39.61781,0.0,0.0,0.0,,70.0,0.02,0 x 1955,0.0,0.05,25.0,14.1,14.6,10 x 10,0.0,-1.0,-355271.36792,0.0,0.0,0.0,,,14.8,1.463
18,18,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00025,37.88691,0.0,0.0,0.0,,,0.0,0 x 2077,0.0,0.05,26.0,15.1,15.6,10 x 10,0.0,-1.0,-355271.36786,0.0,0.0,0.0,,,15.8,1.562
19,19,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00021,36.28689,0.0,0.0,0.0,,,0.0,0 x 1805,0.0,0.06,27.0,16.09,16.6,10 x 10,0.0,-0.99984,-355271.36791,0.0,0.0,0.0,,,16.9,1.66
20,20,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,34.80379,0.0,0.0,0.0,,,0.0,0 x 1888,0.0,0.05,28.0,17.1,17.5,10 x 10,0.0,-0.99977,-355271.36785,0.0,0.0,0.0,,,17.9,1.759
21,21,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,33.42554,0.0,0.0,0.0,,,0.0,0 x 344,0.0,0.05,29.0,18.1,18.49,10 x 10,0.0,-1.0,-355271.36784,0.0,0.0,0.0,,,18.9,1.857
22,22,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00018,32.14183,0.0,0.0,0.0,,,0.0,0 x 358,0.0,0.05,30.0,19.1,19.5,10 x 10,0.0,-0.99977,-355271.36784,0.0,0.0,0.0,,,19.9,1.956
23,23,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0005,29.82199,0.0,0.0,0.0,,,0.0,0 x 4273,0.0,0.11,32.0,21.6,22.0,10 x 10,0.0,-1.0,-355271.3679,0.0,0.0,0.0,,,21.9,2.153
24,24,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,26.85536,0.0,0.0,0.0,,,0.0,0 x 4292,0.0,0.11,35.0,24.1,24.49,10 x 10,0.0,-0.99943,710542.73577,0.0,0.0,0.0,,,24.9,2.448
25,25,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,25.15459,0.0,0.0,0.0,,,0.0,0 x 2714,0.0,0.05,37.0,26.6,27.0,10 x 10,0.0,-1.0,710542.73577,0.0,0.0,0.0,,,26.9,2.645
26,26,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.0,22.93529,0.0,0.0,0.0,,,0.0,0 x 2835,0.0,0.06,40.0,29.1,29.5,10 x 10,0.0,-1.0,710542.73578,0.0,0.0,0.0,,,29.9,2.941
27,27,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00061,21.63966,0.0,0.0,0.0,,,0.0,0 x 2844,0.0,0.05,42.0,31.6,32.0,10 x 10,0.0,-1.0,710542.73577,0.0,0.0,0.0,,,31.9,3.138
28,28,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-07,1510088400,6,0.00064,19.92252,0.0,0.0,0.0,,,0.0,0 x 2850,0.0,0.06,45.0,34.1,34.5,10 x 10,0.0,-0.99964,710542.73579,0.0,0.0,0.0,,,34.9,3.433
29,29,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-14,1510693200,13,0.00143,134.63098,0.0,0.0,0.0,,10.0,2.8,2675 x 3353,2.81,2.96,8.0,0.0,0.05,0 x 19514,0.0,-1.0,0.0,0.0,0.0,0.0,,,2.2,0.212
30,30,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-14,1510693200,13,0.00071,119.43536,0.0,0.0,0.0,,906.0,2.2,5309 x 926,2.3,2.4,9.0,0.0,0.06,0 x 26706,0.05,-1.0,0.0,0.0,0.0,0.0,,40.0,1.2,0.113
31,31,1509566400,2017-11-01 16:00,2017-11-01,16.0,10.15,2017-11-14,1510693200,13,0.00067,107.1616,0.0,0.0,0.0,,423.0,1.1,4761 x 27526,1.09,1.19,10.0,0.26,0.29,13173 x 3504,0.32,-0.99964,0.0,0.0,0.0,0.0,,,0.2,0.015
