,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00095,0.00073,,10.0,4.56,500 x 500,3.8,4.25,10.0,0.0,0.01,0 x 75,0.01,-0.00373,0.00306,-2e-05,-0.00487,0.0,3.18552,2.0,3.9,0.279
1,1,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.002,0.00031,,,0.0,500 x 500,3.3,3.75,10.5,0.0,0.06,0 x 0,0.0,-0.0176,0.00951,0.00067,-0.02968,0.0,3.72168,,3.4,0.242
2,2,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00196,0.00014,,,0.0,500 x 500,2.8,3.25,11.0,0.0,0.01,0 x 0,0.02,-0.00501,0.00424,4e-05,-0.00497,0.0,2.68318,0.0,2.9,0.206
3,3,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00176,0.0008,,,0.0,500 x 500,2.3,2.75,11.5,0.0,0.01,0 x 0,0.0,-0.00518,0.00495,7e-05,-0.0054,0.0,2.44671,,2.4,0.17
4,4,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00193,0.00106,,2.0,2.47,500 x 511,1.8,2.25,12.0,0.0,0.01,0 x 0,0.03,-0.00557,0.00597,0.00048,-0.00456,0.0,2.22069,1.0,1.9,0.134
5,5,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00178,0.00021,,1.0,1.43,530 x 30,1.3,1.75,12.5,0.0,0.01,0 x 0,0.07,-0.00653,0.00729,8e-05,-0.00479,0.0,2.00141,1.0,1.4,0.098
6,6,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00187,0.00077,,56.0,1.32,532 x 56,0.78,1.13,13.0,0.0,0.01,0 x 31,0.01,-0.00686,0.00886,-6e-05,-0.00544,0.0,1.78896,4.0,0.9,0.062
7,7,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00215,0.00039,,63.0,0.48,526 x 56,0.35,0.72,13.5,0.02,0.06,1 x 213,0.03,-0.03627,0.03046,0.00055,-0.03786,0.0,2.18094,13.0,0.4,0.026
8,8,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00244,0.00042,,52.0,0.12,1 x 56,0.12,0.24,14.0,0.1,0.19,1 x 34,0.15,-0.0921,0.05284,0.00159,-0.12527,0.0,2.60293,26.0,0.1,0.01
9,9,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00168,0.00037,,4.0,0.12,1 x 103,0.06,0.09,14.5,0.4,0.59,86 x 1,0.41,-0.18739,0.06316,0.00352,-0.3463,0.0,3.54834,25.0,0.6,0.046
10,10,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00179,0.00038,,60.0,0.01,342 x 1,0.01,0.03,15.0,0.86,1.1,86 x 5,0.81,-0.25725,0.06017,0.00413,-0.56935,-0.0005,4.45949,18.0,1.1,0.082
11,11,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.0024,0.00049,,481.0,0.01,30 x 2,0.01,0.02,16.0,1.73,2.18,513 x 513,1.87,-0.33607,0.05241,0.00482,-0.87854,-0.00046,5.76201,14.0,2.1,0.154
12,12,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,1.0,0.0,0.0,-0.00246,0.00084,,10.0,0.01,0 x 401,0.0,0.03,17.0,2.81,3.23,30 x 535,3.07,-0.38106,0.04497,0.00502,-1.12217,-1e-05,6.9502,7.0,3.1,0.227
13,13,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.08769,0.41992,0.00234,-0.01326,0.00012,0.31515,4.0,0.02,0 x 401,0.0,0.03,18.0,3.81,4.23,30 x 543,3.98,-0.4122,0.04026,0.00494,-1.28925,-0.00079,7.82324,5.0,4.1,0.299
14,14,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.02006,0.06797,0.00103,-0.00453,0.0003,0.58449,7.0,0.01,0 x 2,0.0,0.01,19.0,4.81,5.23,30 x 540,5.01,-0.43285,0.03654,0.00418,-1.42246,-0.00048,8.58819,4.0,5.1,0.371
15,15,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.01369,0.03328,0.00071,-0.00491,-0.00033,0.87854,22.0,0.01,0 x 7,0.0,0.01,20.0,5.7,6.15,504 x 30,5.85,-0.4536,0.03425,0.00438,-1.49989,-0.00041,9.07381,8.0,6.1,0.443
16,16,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.02504,0.03697,0.00114,-0.01457,0.0002,1.33645,1.0,0.01,0 x 2,0.0,0.03,21.0,6.7,7.16,503 x 533,7.13,-0.46523,0.03143,0.00445,-1.59328,-0.00063,9.71497,1.0,7.1,0.515
17,17,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.00952,0.01476,0.00017,-0.00531,-0.00017,1.39059,17.0,0.06,0 x 23,0.0,0.01,22.0,7.7,8.16,502 x 532,0.0,-0.47416,0.02903,0.00434,-1.67212,-0.0006,10.30155,,8.1,0.587
18,18,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.02371,0.02403,0.00059,-0.01942,3e-05,1.95147,10.0,0.03,0 x 409,0.0,0.04,23.0,8.71,9.14,502 x 30,8.6,-0.48098,0.02686,0.00429,-1.74003,-0.00059,10.84161,1.0,9.1,0.659
19,19,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.0213,0.01948,0.00105,-0.02003,0.00019,2.1969,20.0,0.05,0 x 423,0.0,0.04,24.0,9.71,10.14,502 x 30,8.82,-0.48477,0.02492,0.00502,-1.80265,-0.00017,11.36649,2.0,10.1,0.732
20,20,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.03335,0.02285,0.00117,-0.03867,0.0004,2.7027,109.0,0.05,0 x 0,0.0,0.08,25.0,10.71,11.14,502 x 30,10.0,-0.48665,0.02317,0.0043,-1.85918,-0.0003,11.86871,5.0,11.1,0.804
21,21,1690920000,2023-08-01 16:00,2023-08-01,16.0,13.86,2023-08-02,1691006400,1,0.00597,0.00643,0.00016,-0.00524,0.0,2.23332,23.0,0.01,0 x 11,0.0,0.01,26.0,11.73,12.21,501 x 586,11.58,-0.48473,0.0215,0.00465,-1.92881,-0.00048,12.45184,2.0,12.1,0.876
