,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00054,0.00183,,10.0,14.42,28 x 37,15.69,16.11,10.0,0.0,0.04,0 x 0,0.0,-0.00549,0.00128,0.00073,-0.01042,-0.00025,3.06334,,15.3,0.604
1,1,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00079,0.00145,,2.0,13.7,28 x 28,15.2,15.62,10.5,0.0,0.02,0 x 1093,0.0,-0.00268,0.001,0.00025,-0.00572,0.0,2.7067,,14.8,0.585
2,2,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00105,0.00192,,4.0,13.22,28 x 28,14.7,15.12,11.0,0.0,0.02,0 x 1051,0.0,-0.00356,0.00103,0.00033,-0.00589,0.0,2.57813,,14.3,0.565
3,3,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00117,0.00201,,,0.0,28 x 28,14.2,14.62,11.5,0.0,0.02,0 x 1016,0.0,-0.00324,0.00115,0.00071,-0.0052,0.0,2.4465,,13.8,0.545
4,4,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00131,0.00226,,10.0,12.44,28 x 28,13.7,14.12,12.0,0.0,0.02,0 x 991,0.0,-0.00344,0.00125,0.00018,-0.00559,-0.00039,2.33215,,13.3,0.525
5,5,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00102,0.0023,,2.0,12.05,28 x 28,13.2,13.62,12.5,0.0,0.02,0 x 969,0.0,-0.00414,0.00143,0.00015,-0.00574,0.0,2.22182,,12.8,0.506
6,6,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00137,0.00272,,,0.0,28 x 28,12.7,13.12,13.0,0.0,0.02,0 x 953,0.0,-0.00375,0.0015,0.0004,-0.00509,0.0,2.11631,,12.3,0.486
7,7,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00106,0.00253,,,0.0,28 x 28,12.2,12.62,13.5,0.0,0.03,0 x 2277,0.0,-0.00591,0.00215,0.00073,-0.00806,-0.00029,2.11164,,11.8,0.466
8,8,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00124,0.00227,,27.0,13.0,28 x 28,11.7,12.12,14.0,0.0,0.02,0 x 969,0.0,-0.00397,0.00186,0.00017,-0.00539,-0.00039,1.91498,,11.3,0.446
9,9,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00102,0.00257,,189.0,9.32,38 x 28,11.2,11.62,14.5,0.0,0.02,0 x 957,0.0,-0.0045,0.002,0.00062,-0.00565,0.0,1.81488,,10.8,0.426
10,10,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00109,0.00302,,189.0,8.84,38 x 36,10.71,11.12,15.0,0.0,0.02,0 x 940,0.02,-0.00459,0.00224,0.00067,-0.00495,-5e-05,1.72255,2.0,10.3,0.407
11,11,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00144,0.00339,,21.0,8.57,38 x 28,9.71,10.12,16.0,0.02,0.02,0 x 822,0.03,-0.0093,0.004,0.00062,-0.00934,-0.00027,1.68722,2.0,9.3,0.367
12,12,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00156,0.0034,,1.0,7.19,38 x 28,8.71,9.12,17.0,0.01,0.02,0 x 165,0.03,-0.00819,0.00423,0.00094,-0.00717,-0.0001,1.45245,1.0,8.3,0.328
13,13,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00152,0.00325,,3.0,8.41,8 x 20,7.74,8.1,18.0,0.01,0.03,0 x 2263,0.02,-0.01117,0.00613,0.00068,-0.00929,0.0,1.33746,30.0,7.3,0.288
14,14,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00195,0.00378,,1.0,7.53,8 x 20,6.74,7.1,19.0,0.01,0.02,0 x 135,0.01,-0.01,0.00671,0.00088,-0.00725,0.0,1.1272,5.0,6.3,0.248
15,15,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00185,0.00341,,11.0,6.9,38 x 20,5.7,6.1,20.0,0.01,0.01,0 x 96,0.03,-0.00839,0.00709,0.00057,-0.00524,-0.00045,0.93037,130.0,5.3,0.209
16,16,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00132,0.00385,,1.0,6.2,8 x 20,4.75,5.1,21.0,0.01,0.03,0 x 2087,0.02,-0.01684,0.01344,0.00148,-0.0089,0.0,0.86778,7.0,4.3,0.169
17,17,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00226,0.00421,,202.0,4.63,8 x 20,3.76,4.11,22.0,0.02,0.03,36 x 16,0.03,-0.02375,0.02062,0.00168,-0.01054,-0.00036,0.74762,13.0,3.3,0.13
18,18,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00199,0.00448,,216.0,3.64,8 x 17,2.8,3.14,23.0,0.02,0.08,210 x 45,0.06,-0.04724,0.03934,0.00382,-0.01698,0.0,0.68576,266.0,2.3,0.09
19,19,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00222,0.00488,,12.0,2.5,26 x 3,1.98,2.28,24.0,0.14,0.2,42 x 75,0.17,-0.12485,0.07768,0.00738,-0.03927,-0.00032,0.72711,216.0,1.3,0.051
20,20,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,1.0,0.0,0.0,-0.00175,0.00498,,33.0,1.55,11 x 28,1.55,1.59,25.0,0.43,0.45,106 x 2,0.45,-0.24479,0.10969,0.01147,-0.0675,-0.00122,0.79001,521.0,0.3,0.011
21,21,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,0.72304,0.24431,0.0124,-0.03621,0.00367,0.37701,112.0,1.11,77 x 287,0.9,1.11,26.0,0.95,1.0,120 x 2,0.76,-0.38497,0.11358,0.01425,-0.09873,-0.00219,0.92709,430.0,0.7,0.028
22,22,1662062400,2022-09-01 16:00,2022-09-01,16.0,25.28,2022-09-07,1662580800,6,0.46961,0.19492,0.01465,-0.06354,0.00214,0.56228,317.0,0.7,81 x 217,0.62,0.79,27.0,1.63,1.91,38 x 187,1.47,-0.49158,0.09681,0.01402,-0.12635,-0.00264,1.13507,204.0,1.7,0.068
