,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00154,119.43494,0.0,0.0,0.0,,110.0,0.83,154 x 1,0.9,1.04,9.0,0.0,0.04,0 x 3654,0.03,-1.0,0.0,0.0,0.0,0.0,,7.0,0.9,0.091
1,1,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00102,107.16124,0.0,0.0,0.0,,376.0,0.25,2418 x 91,0.2,0.25,10.0,0.1,0.2,50 x 4517,0.1,-0.99961,0.0,0.0,0.0,0.0,,324.0,0.1,0.01
2,2,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00089,97.04529,0.0,0.0,0.0,,,0.05,2098 x 20,0.05,0.1,11.0,0.7,0.79,500 x 213,0.9,-1.0,0.0,0.0,0.0,0.0,,,1.1,0.111
3,3,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00031,88.56829,0.0,0.0,0.0,,534.0,0.05,0 x 2,0.0,0.04,12.0,1.49,1.74,1740 x 292,1.7,-1.0,0.0,0.0,0.0,0.0,,7.0,2.1,0.212
4,4,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00053,81.36528,0.0,0.0,0.0,,0.0,0.06,0 x 3507,0.0,0.05,13.0,2.95,3.19,107 x 204,0.0,-1.0,0.0,0.0,0.0,0.0,,,3.1,0.313
5,5,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.0004,75.17185,0.0,0.0,0.0,,30.0,0.05,0 x 3913,0.0,0.05,14.0,3.4,3.71,131 x 135,0.0,-1.0,0.0,0.0,0.0,0.0,,,4.1,0.414
6,6,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00053,69.79214,0.0,0.0,0.0,,0.0,0.05,0 x 4768,0.0,0.05,15.0,4.4,4.7,144 x 157,4.6,-1.0,0.0,0.0,0.0,0.0,,0.0,5.1,0.515
7,7,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00065,65.07763,0.0,0.0,0.0,,0.0,0.04,0 x 4697,0.0,0.05,16.0,5.4,5.8,310 x 172,0.0,-0.99985,0.0,0.0,0.0,0.0,,,6.1,0.616
8,8,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00092,60.91388,0.0,0.0,0.0,,0.0,0.05,0 x 4504,0.0,0.04,17.0,6.4,6.8,25 x 25,0.0,-1.0,-355271.36791,0.0,0.0,0.0,,,7.1,0.717
9,9,1496692800,2017-06-05 16:00,2017-06-05,16.0,9.9,2017-06-06,1496779200,1,0.00085,57.21111,0.0,0.0,0.0,,,0.0,0 x 4046,0.0,0.05,18.0,7.41,7.8,25 x 25,0.0,-0.9997,-355271.36793,0.0,0.0,0.0,,,8.1,0.818
