,Unnamed: 0,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
0,0,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.93463,0.0042,0.0053,-0.27963,0.00122,7.7274,0.0,19.83,370 x 370,18.56,21.2,10.0,0.0,0.02,0 x 0,0.0,-0.00215,0.0007,0.0,-0.00524,-2e-05,2.91308,,16.7,0.625
1,1,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.93158,0.00454,0.00518,-0.27876,0.00097,7.40925,50.0,19.9,370 x 370,18.07,20.7,10.5,0.0,0.02,0 x 0,0.0,-0.00261,0.00082,0.00018,-0.00513,-0.00042,2.78458,,16.2,0.606
2,2,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.93038,0.00497,0.00566,-0.25944,0.00135,6.84723,,0.0,370 x 370,17.47,20.03,11.0,0.0,0.02,0 x 0,0.0,-0.00306,0.00088,5e-05,-0.00556,0.0,2.66224,,15.7,0.588
3,3,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.92641,0.00537,0.00578,-0.25894,0.00166,6.57168,,0.0,370 x 370,16.95,19.53,11.5,0.0,0.38,0 x 0,0.0,-0.02695,0.00396,0.00227,-0.06452,0.0,3.94838,,15.2,0.569
4,4,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.92302,0.00586,0.0057,-0.2577,0.00124,6.31014,,0.0,370 x 370,16.47,19.03,12.0,0.0,0.41,0 x 0,0.0,-0.028,0.00433,0.00216,-0.06478,0.0,3.80103,,14.7,0.55
5,5,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.9194,0.00631,0.00586,-0.25693,0.00203,6.06046,,0.0,370 x 370,15.96,18.53,12.5,0.0,0.02,0 x 51,0.0,-0.0031,0.00109,0.00042,-0.0054,0.0,2.33341,,14.2,0.531
6,6,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.9149,0.00674,0.00659,-0.25579,0.00184,5.82273,,0.0,370 x 370,15.46,18.03,13.0,0.0,0.01,0 x 45,0.0,-0.00372,0.00122,0.00045,-0.00543,0.0,2.21867,,13.7,0.513
7,7,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.91126,0.00732,0.00614,-0.25508,0.00226,5.60184,,0.0,370 x 370,14.96,17.55,13.5,0.0,0.02,0 x 0,0.0,-0.00405,0.00133,2e-05,-0.00534,-0.00017,2.11901,,13.2,0.494
8,8,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.90395,0.00771,0.00628,-0.27233,0.00161,5.60118,,0.0,370 x 370,14.59,17.2,14.0,0.0,0.02,0 x 0,0.0,-0.00379,0.00143,0.00072,-0.00557,0.0,2.02249,,12.7,0.475
9,9,1601582400,2020-10-01 16:00,2020-10-01,16.0,26.68,2020-10-07,1602100800,6,0.89918,0.00836,0.00675,-0.27001,0.00228,5.38372,,0.0,370 x 370,14.08,16.7,14.5,0.0,0.03,0 x 0,0.0,-0.00417,0.00152,0.0008,-0.00474,0.0,1.92852,,12.2,0.457
